Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
SH3 domain-containing protein OS=Dictyostelium discoideum GN=docD PE=4 SV=1	tr|Q54PB7|Q54PB7_DICDI	218 kDa	TRUE	13
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27 kDa		2
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205795 PE=4 SV=1	tr|Q54WR3|Q54WR3_DICDI	155 kDa		9
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa		1
Villin headpiece domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0279449 PE=4 SV=1	tr|Q54WT5|Q54WT5_DICDI	121 kDa		5
PCI domain-containing protein 2 homolog OS=Dictyostelium discoideum GN=pcid2 PE=3 SV=1	sp|Q54PX7|PCID2_DICDI	49 kDa	TRUE	7
Protovillin OS=Dictyostelium discoideum GN=vilB PE=1 SV=1	sp|P36418|VILB_DICDI	109 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0275039 PE=4 SV=1	tr|Q86I62|Q86I62_DICDI	80 kDa	TRUE	9
Recoverin family protein DDB_G0272130 OS=Dictyostelium discoideum GN=DDB_G0272130 PE=1 SV=1	sp|Q86JE1|Y2130_DICDI	23 kDa		3
Proteasome subunit alpha type-1 OS=Dictyostelium discoideum GN=psmA1 PE=3 SV=1	sp|Q27562|PSA1_DICDI	28 kDa		5
Ubiquitin system component Cue domain containing protein OS=Dictyostelium discoideum GN=DDB_0191017 PE=4 SV=1	tr|Q55BS4|Q55BS4_DICDI	107 kDa	TRUE	8
Farnesyl diphosphate synthase OS=Dictyostelium discoideum GN=Dfps PE=2 SV=1	tr|Q9NH03|Q9NH03_DICDI	44 kDa		1
Eukaryotic translation initiation factor 2 subunit 2 OS=Dictyostelium discoideum GN=eif2s2 PE=3 SV=1	sp|Q54T27|IF2B_DICDI	36 kDa		7
Endoplasmic reticulum transmembrane protein YET-like OS=Dictyostelium discoideum GN=DDB_G0287543 PE=3 SV=2	sp|Q54K74|YETL_DICDI	24 kDa		1
Polyphosphate kinase OS=Dictyostelium discoideum GN=ppkA PE=1 SV=1	sp|Q54BM7|PPK_DICDI	118 kDa	TRUE	6
Spermidine synthase OS=Dictyostelium discoideum GN=spsA PE=3 SV=2	sp|Q9XY92|SPEE_DICDI	32 kDa	TRUE	6
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167952 PE=4 SV=1	tr|Q556G9|Q556G9_DICDI	46 kDa	TRUE	8
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0286305 PE=4 SV=1	tr|Q54LY4|Q54LY4_DICDI	37 kDa		2
Citrate lyase subunit beta-like protein OS=Dictyostelium discoideum GN=clybl PE=4 SV=1	tr|Q54Q74|Q54Q74_DICDI	41 kDa		4
40S ribosomal protein S17 OS=Dictyostelium discoideum GN=rps17 PE=3 SV=2	sp|P42520|RS17_DICDI	16 kDa		2
DNA-directed RNA polymerase II subunit rpb1 OS=Dictyostelium discoideum GN=polr2a PE=2 SV=2	sp|P35084|RPB1_DICDI	193 kDa		7
Protein hook homolog OS=Dictyostelium discoideum GN=hook PE=3 SV=1	sp|Q54IK9|HOOK_DICDI	84 kDa	TRUE	6
"Aspartyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=maspS PE=3 SV=1"	sp|Q55C99|SYDM_DICDI	79 kDa		3
Putative calpain-like cysteine protease A OS=Dictyostelium discoideum GN=cplA PE=1 SV=1	sp|Q8MUF9|CPLA_DICDI	73 kDa		1
Protease do precursor (EC 3.4.21.-).	sp|P0C0V0|DEGP_ECOLI	49 kDa		9
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17 kDa	TRUE	1
Outer membrane protein assembly factor y	sp|P0A940|YAET_ECOLI	91 kDa		6
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289047 PE=3 SV=1	tr|Q54I27|Q54I27_DICDI	89 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191041 PE=4 SV=1	tr|Q55BP9|Q55BP9_DICDI	76 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	tr|Q86J04|Q86J04_DICDI	64 kDa		0
5-oxoprolinase OS=Dictyostelium discoideum GN=oplah PE=3 SV=2	sp|Q54NW6|OPLA_DICDI	139 kDa	TRUE	7
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	sp|Q54RX9|RAB5B_DICDI	23 kDa	TRUE	6
Formin-B OS=Dictyostelium discoideum GN=forB PE=1 SV=1	sp|Q54SP2|FORB_DICDI	124 kDa	TRUE	9
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa	TRUE	6
Succinyl-CoA synthetase alpha chain (EC	sp|P0AGE9|SUCD_ECOLI	30 kDa		6
Outer membrane protein X precursor.	sp|P0A917|OMPX_ECOLI	19 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185931 PE=4 SV=1	tr|Q54PW3|Q54PW3_DICDI	106 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41 kDa	TRUE	3
"Homogentisate 1,2-dioxygenase OS=Dictyostelium discoideum GN=hgd PE=2 SV=1"	sp|Q54QI4|HGD_DICDI	48 kDa		5
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa		2
Dynactin 150 kDa subunit OS=Dictyostelium discoideum GN=dynA PE=4 SV=1	tr|Q54VD6|Q54VD6_DICDI	173 kDa		8
"Probable enoyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=echs1 PE=3 SV=1"	sp|Q1ZXF1|ECHM_DICDI	30 kDa		0
Calmodulin-like protein OS=Dictyostelium discoideum GN=calB PE=2 SV=1	sp|O00897|CALML_DICDI	17 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185787 PE=4 SV=1	tr|Q54QA4|Q54QA4_DICDI	84 kDa	TRUE	9
D-ribose-binding periplasmic protein pre	sp|P02925|RBSB_ECOLI	31 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184511 PE=4 SV=1	tr|Q54CW1|Q54CW1_DICDI	19 kDa		0
Exportin-4 OS=Dictyostelium discoideum GN=xpo4 PE=3 SV=1	sp|Q54UP5|XPO4_DICDI	130 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	tr|Q54B43|Q54B43_DICDI	97 kDa	TRUE	4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0168497 PE=4 SV=1	tr|Q75JE7|Q75JE7_DICDI	38 kDa		6
"Pyruvate dehydrogenase complex subunit homolog DDB_G0271564, mitochondrial OS=Dictyostelium discoideum GN=pdhX PE=3 SV=1"	sp|Q86AD5|Y1564_DICDI	46 kDa		5
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64 kDa		1
T-complex protein 1 subunit eta OS=Dictyostelium discoideum GN=cct7 PE=3 SV=1	sp|Q54ER7|TCPH_DICDI	61 kDa	TRUE	11
DNA-dependent protein kinase catalytic subunit OS=Dictyostelium discoideum GN=dnapkcs PE=3 SV=2	sp|Q54UC0|PRKDC_DICDI	494 kDa	TRUE	7
Actin domain-containing protein OS=Dictyostelium discoideum GN=fia PE=3 SV=1	tr|Q54PQ2|Q54PQ2_DICDI	105 kDa	TRUE	4
Putative acetyltransferase DDB_G0280825 OS=Dictyostelium discoideum GN=DDB_G0280825 PE=3 SV=1	sp|Q54UU2|Y0825_DICDI (+1)	21 kDa		1
Succinylornithine transaminase (EC 2.6.1	sp|P77581|ARGM_ECOLI	44 kDa		7
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56 kDa	TRUE	1
Translocon-associated protein subunit gamma OS=Dictyostelium discoideum GN=ssr3 PE=3 SV=1	sp|Q55GT5|SSRG_DICDI	19 kDa		9
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0294597 PE=4 SV=1	tr|B0G0Z7|B0G0Z7_DICDI	49 kDa		5
Amidophosphoribosyltransferase OS=Dictyostelium discoideum GN=purF PE=3 SV=1	sp|Q86A85|PUR1_DICDI	57 kDa		2
Activating signal cointegrator 1 complex subunit 3 OS=Dictyostelium discoideum GN=ascc3 PE=3 SV=1	sp|Q54G57|HELC1_DICDI	252 kDa	TRUE	7
Histone H4 OS=Dictyostelium discoideum GN=H4a PE=1 SV=1	sp|Q76NW2|H4_DICDI	12 kDa		5
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Dictyostelium discoideum GN=ndufs4 PE=3 SV=2"	sp|Q8T1V6|NDUS4_DICDI	22 kDa		1
D-methionine-binding lipoprotein metQ pr	sp|P28635|METQ_ECOLI	29 kDa		2
Fatty acyl-CoA synthetase B OS=Dictyostelium discoideum GN=fcsB PE=2 SV=1	sp|Q1ZXQ4|FCSB_DICDI	76 kDa	TRUE	6
Myb domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0267638 PE=4 SV=1	tr|Q55GK2|Q55GK2_DICDI	352 kDa	TRUE	1
P-type ATPase OS=Dictyostelium discoideum GN=DDB_G0267924 PE=3 SV=2	tr|Q55FW3|Q55FW3_DICDI	123 kDa		7
Hybrid signal transduction histidine kinase G OS=Dictyostelium discoideum GN=dhkG PE=3 SV=1	rsp|Q54Q69|DHKG_DICDI	?	TRUE	3
RhoGEF domain-containing protein OS=Dictyostelium discoideum GN=xacC PE=4 SV=1	tr|Q54ND2|Q54ND2_DICDI	152 kDa	TRUE	7
Protein transport protein SEC24 OS=Dictyostelium discoideum GN=sec24 PE=3 SV=1	sp|Q54U61|SEC24_DICDI	115 kDa		2
Succinate dehydrogenase flavoprotein sub	sp|P0AC41|DHSA_ECOLI	64 kDa		0
Glutathione reductase OS=Dictyostelium discoideum GN=gsr PE=3 SV=2	sp|Q8T137|GSHR_DICDI	50 kDa		4
Eukaryotic translation initiation factor 3 subunit D OS=Dictyostelium discoideum GN=eif3d PE=3 SV=1	sp|Q554U9|EIF3D_DICDI	60 kDa	TRUE	0
ABC transporter C family member 3 OS=Dictyostelium discoideum GN=abcC3 PE=3 SV=1	sp|Q54JR2|ABCC3_DICDI	158 kDa	TRUE	7
COP9 signalosome complex subunit 3 OS=Dictyostelium discoideum GN=csn3 PE=1 SV=1	sp|Q54E53|CSN3_DICDI	47 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189251 PE=4 SV=1	tr|Q54F41|Q54F41_DICDI	79 kDa	TRUE	6
Ras-related protein Rab-21 OS=Dictyostelium discoideum GN=rab21 PE=1 SV=2	sp|P34142|RAB21_DICDI	23 kDa		6
Probable 26S proteasome non-ATPase regulatory subunit 8 OS=Dictyostelium discoideum GN=psmD8-1 PE=2 SV=2	sp|P02889|PSMD8_DICDI	30 kDa		4
GDP-L-fucose synthetase OS=Dictyostelium discoideum GN=ger PE=3 SV=1	sp|Q55C77|FCL_DICDI	36 kDa		4
Aldose reductase B OS=Dictyostelium discoideum GN=alrB PE=3 SV=2	sp|Q54NZ7|ALRB_DICDI	35 kDa		2
"ATP synthase subunit delta, mitochondrial OS=Dictyostelium discoideum GN=atp5D PE=3 SV=1"	sp|Q55F42|ATPD_DICDI	19 kDa		1
Putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0278295 OS=Dictyostelium discoideum GN=DDB_G0278295 PE=2 SV=1	sp|Q54YD2|Y8295_DICDI	15 kDa		1
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa	TRUE	4
Importin 4 OS=Dictyostelium discoideum GN=ipo4 PE=4 SV=1	tr|Q55BW3|Q55BW3_DICDI	124 kDa		2
COP9 signalosome complex subunit 5 OS=Dictyostelium discoideum GN=csn5 PE=1 SV=1	sp|Q54PF3|CSN5_DICDI	38 kDa		5
Vacuolin-A OS=Dictyostelium discoideum GN=vacA PE=1 SV=1	sp|O15706|VACA_DICDI	66 kDa	TRUE	0
Small heat shock protein hspK OS=Dictyostelium discoideum GN=hspK PE=3 SV=1	sp|Q86H60|HSPK_DICDI	20 kDa		5
Putative uncharacterized protein gaa OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	tr|Q55D50|Q55D50_DICDI	96 kDa	TRUE	4
Phospholipase B-like protein F OS=Dictyostelium discoideum GN=plbF PE=3 SV=1	sp|Q554H5|PLBLF_DICDI	65 kDa		3
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa	TRUE	6
RapGAP/RanGAP domain-containing protein OS=Dictyostelium discoideum GN=DDB_0185814 PE=4 SV=1	tr|Q54Q75|Q54Q75_DICDI	41 kDa		8
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28 kDa		4
L-threonine 3-dehydrogenase (EC 1.1.1.10	sp|P07913|TDH_ECOLI	37 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188677 PE=4 SV=1	tr|Q54GQ3|Q54GQ3_DICDI	43 kDa		4
Transportin OS=Dictyostelium discoideum GN=tnpo PE=3 SV=1	sp|Q55CQ7|TNPO_DICDI	105 kDa		7
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	sp|Q54JM3|ULA1_DICDI	59 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281967 PE=4 SV=1	tr|Q54T73|Q54T73_DICDI	78 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185806 PE=4 SV=1	tr|Q54Q82|Q54Q82_DICDI	50 kDa		3
Probable serine/threonine-protein kinase roco5 OS=Dictyostelium discoideum GN=roco5 PE=3 SV=1	sp|Q1ZXD6|ROCO5_DICDI	307 kDa	TRUE	6
Presporeless protein A OS=Dictyostelium discoideum GN=pslA PE=1 SV=1	sp|Q55FB8|PSLA_DICDI	149 kDa	TRUE	8
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204675 PE=4 SV=1	tr|Q54TE6|Q54TE6_DICDI	51 kDa		3
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Dictyostelium discoideum GN=hibch PE=3 SV=1"	sp|Q55GS6|HIBCH_DICDI	43 kDa	TRUE	3
Maf-like protein DDB_G0281937 OS=Dictyostelium discoideum GN=DDB_G0281937 PE=3 SV=1	sp|Q54TC5|MAFL2_DICDI	22 kDa		2
Probable GH family 25 lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274181 PE=3 SV=1	sp|Q86KC1|LYSG2_DICDI	23 kDa		3
Transmembrane emp24 domain-containing protein B OS=Dictyostelium discoideum GN=empB PE=3 SV=1	sp|Q54BN0|TMEDB_DICDI	24 kDa		2
"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhC PE=3 SV=1"	sp|Q8T2T5|C560_DICDI	21 kDa		0
Small MutS related family protein OS=Dictyostelium discoideum GN=DDB_G0288821 PE=4 SV=1	tr|Q54ID5|Q54ID5_DICDI	35 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187732 PE=4 SV=1	tr|Q54JJ7|Q54JJ7_DICDI	212 kDa	TRUE	9
Xanthine dehydrogenase OS=Dictyostelium discoideum GN=xdh PE=3 SV=1	sp|Q54FB7|XDH_DICDI	150 kDa		7
Importin subunit alpha-B OS=Dictyostelium discoideum GN=DDB_G0272318 PE=3 SV=1	sp|Q76P29|IMAB_DICDI	58 kDa	TRUE	3
Cullin-3 OS=Dictyostelium discoideum GN=culC PE=3 SV=1	sp|Q54NZ5|CUL3_DICDI	89 kDa		7
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa	TRUE	10
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		1
Carbamoyl-phosphate synthase large chain	sp|P00968|CARB_ECOLI	118 kDa		7
Myosin IE heavy chain OS=Dictyostelium discoideum GN=myoE PE=1 SV=2	sp|Q03479|MYOE_DICDI	115 kDa	TRUE	8
60S ribosomal protein L24 OS=Dictyostelium discoideum GN=rpl24 PE=3 SV=1	sp|Q54VN6|RL24_DICDI	15 kDa		1
Ubiquitin carboxyl-terminal hydrolase A OS=Dictyostelium discoideum GN=ubpA PE=2 SV=2	sp|P54201|UBPA_DICDI	95 kDa	TRUE	10
ATP synthase B chain (EC 3.6.3.14).	sp|P0ABA0|ATPF_ECOLI	17 kDa		0
"Methylmalonyl-CoA epimerase, mitochondrial OS=Dictyostelium discoideum GN=mcee PE=3 SV=1"	sp|Q553V2|MCEE_DICDI	18 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187121 PE=4 SV=1	rtr|Q54LB2|Q54LB2_DICDI	?		3
Acriflavine resistance protein A precurs	sp|P0AE06|ACRA_ECOLI	42 kDa		4
Proteasome subunit beta type-3 OS=Dictyostelium discoideum GN=psmB3 PE=3 SV=1	sp|Q55D66|PSB3_DICDI	23 kDa		4
Vacuolar protein sorting-associated protein 29 OS=Dictyostelium discoideum GN=vps29 PE=3 SV=1	sp|Q54IF7|VPS29_DICDI	20 kDa		1
Eukaryotic translation initiation factor 3 subunit K OS=Dictyostelium discoideum GN=eif3k PE=3 SV=2	sp|Q54EQ1|EIF3K_DICDI	29 kDa		2
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0185918 PE=3 SV=1	tr|Q54PX6|Q54PX6_DICDI	44 kDa	TRUE	0
Ribosomal protein S3 OS=Dictyostelium citrinum GN=rps3 PE=4 SV=1	rtr|B2VQ35|B2VQ35_DICCI	?	TRUE	0
Ras-related protein Rab-1D OS=Dictyostelium discoideum GN=rab1D PE=1 SV=1	sp|Q54NU2|RAB1D_DICDI	23 kDa	TRUE	11
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=pksB PE=2 SV=1	tr|O15744|O15744_DICDI	29 kDa		4
Probable myosin light chain kinase DDB_G0275057 OS=Dictyostelium discoideum GN=DDB_G0275057 PE=3 SV=1	sp|Q869W6|MYLKG_DICDI	39 kDa	TRUE	4
Glutathione synthetase OS=Dictyostelium discoideum GN=gshB PE=3 SV=1	sp|Q54E83|GSHB_DICDI	54 kDa	TRUE	4
Probable transcription-associated protein 1 OS=Dictyostelium discoideum GN=tra1 PE=3 SV=2	sp|Q54T85|TRA1_DICDI	515 kDa	TRUE	3
26S proteasome non-ATPase regulatory subunit 14 OS=Dictyostelium discoideum GN=psmD14 PE=3 SV=1	sp|Q86IJ1|PSDE_DICDI	34 kDa		4
Putative vacuolar protein sorting-associated protein 13B OS=Dictyostelium discoideum GN=vps13B PE=3 SV=1	sp|Q555C6|VP13B_DICDI	694 kDa	TRUE	7
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa		3
Phospholipase D OS=Dictyostelium discoideum GN=DDB_0190786 PE=4 SV=1	tr|Q55CF8|Q55CF8_DICDI	48 kDa		3
Putative uncharacterized protein aoxA OS=Dictyostelium discoideum GN=aoxA PE=2 SV=1	tr|Q8WSV6|Q8WSV6_DICDI	39 kDa		2
Charged multivesicular body protein 1 OS=Dictyostelium discoideum GN=chmp1 PE=3 SV=1	sp|O96552|CHMP1_DICDI	22 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188013 PE=4 SV=1	tr|Q54IQ1|Q54IQ1_DICDI	47 kDa		1
ABC transporter G family member 2 OS=Dictyostelium discoideum GN=abcG2 PE=1 SV=2	sp|Q9NGP5|ABCG2_DICDI	149 kDa		6
LIM domain-containing protein C OS=Dictyostelium discoideum GN=limC PE=2 SV=1	sp|Q9BIW5|LIMC_DICDI	21 kDa		1
Ras-related protein Rab-6 OS=Dictyostelium discoideum GN=rab6 PE=3 SV=1	sp|Q55FK2|RAB6_DICDI	23 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188593 PE=4 SV=1	tr|Q54GY7|Q54GY7_DICDI	517 kDa	TRUE	7
Fructose-bisphosphate aldolase class II	sp|P0AB71|ALF_ECOLI	39 kDa		3
Nicotinate phosphoribosyltransferase OS=Dictyostelium discoideum GN=naprt PE=2 SV=1	sp|Q55G10|PNCB_DICDI	66 kDa	TRUE	1
Glutaredoxin-3 homolog OS=Dictyostelium discoideum GN=glrx3 PE=3 SV=1	sp|Q86H62|GLRX3_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202604 PE=4 SV=1	tr|Q553N9|Q553N9_DICDI	62 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0284705 PE=4 SV=1	tr|Q54P88|Q54P88_DICDI	50 kDa	TRUE	3
50S ribosomal protein L13.	sp|P0AA10|RL13_ECOLI	16 kDa		4
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Dictyostelium discoideum GN=ppp6c PE=2 SV=2	sp|Q9U9A3|PPP6_DICDI	35 kDa		5
Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1	sp|Q54SV3|ALN1_DICDI	72 kDa	TRUE	0
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa	TRUE	5
ALG-2 interacting protein X OS=Dictyostelium discoideum GN=alxA PE=1 SV=1	sp|Q8T7K0|ALIX_DICDI	91 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188436 PE=3 SV=1	tr|Q54HG8|Q54HG8_DICDI	71 kDa		4
30S ribosomal protein S1.	sp|P0AG67|RS1_ECOLI	61 kDa		5
Aldehyde dehydrogenase family 3 comG OS=Dictyostelium discoideum GN=comG PE=3 SV=1	sp|Q54DG1|ALDH3_DICDI	53 kDa	TRUE	1
Guanine nucleotide-binding protein alpha-12 subunit OS=Dictyostelium discoideum GN=gpaL PE=3 SV=1	sp|Q54VG1|GPA12_DICDI	41 kDa	TRUE	6
NEDD8-activating enzyme E1 catalytic subunit OS=Dictyostelium discoideum GN=uba3 PE=3 SV=1	sp|Q54QG9|UBA3_DICDI	49 kDa	TRUE	1
Protein NIF3 homolog OS=Dictyostelium discoideum GN=nif3 PE=2 SV=1	sp|Q55E83|NIF3_DICDI	39 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204291 PE=3 SV=1	tr|Q54T87|Q54T87_DICDI	64 kDa	TRUE	0
Structural maintenance of chromosomes protein 2 OS=Dictyostelium discoideum GN=smc2 PE=3 SV=1	sp|Q54PK4|SMC2_DICDI	135 kDa		7
Paxillin-B OS=Dictyostelium discoideum GN=paxB PE=2 SV=1	sp|Q8MML5|PAXB_DICDI	62 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168194 PE=4 SV=1	tr|Q557I4|Q557I4_DICDI	116 kDa	TRUE	7
Serine palmitoyltransferase 2 OS=Dictyostelium discoideum GN=sptB PE=3 SV=1	sp|Q54EX5|SPTC2_DICDI	55 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186033 PE=4 SV=1	tr|Q54PK7|Q54PK7_DICDI	44 kDa		1
Succinyl-CoA synthetase beta chain (EC 6	sp|P0A836|SUCC_ECOLI	41 kDa		5
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		4
Galactitol-1-phosphate 5-dehydrogenase (	sp|P0A9S3|GATD_ECOLI	37 kDa		5
Ubiquinol oxidase polypeptide II precurs	sp|P0ABJ1|CYOA_ECOLI	35 kDa		0
Methyltransferase type 11 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187734 PE=1 SV=1	tr|Q54JJ5|Q54JJ5_DICDI	29 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167407 PE=4 SV=1	tr|Q86I47|Q86I47_DICDI	34 kDa		4
Pirin family protein OS=Dictyostelium discoideum GN=DDB_G0292528 PE=3 SV=1	tr|C7G074|C7G074_DICDI	33 kDa		2
Putative uncharacterized protein pinA OS=Dictyostelium discoideum GN=pinA PE=4 SV=1	tr|Q55EZ0|Q55EZ0_DICDI (+1)	30 kDa	TRUE	4
Chaperonin Cpn10 family protein OS=Dictyostelium discoideum GN=DDB_0187651 PE=3 SV=1	tr|Q54JT0|Q54JT0_DICDI	11 kDa		0
Electron transfer flavoprotein subunit beta OS=Dictyostelium discoideum GN=etfb PE=3 SV=1	sp|Q54YZ4|ETFB_DICDI	27 kDa		3
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		2
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2"	sp|Q8T2J9|MCCB_DICDI	64 kDa	TRUE	0
Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI	21 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	tr|Q54N71|Q54N71_DICDI	53 kDa		2
Putative thioredoxin-5 OS=Dictyostelium discoideum GN=trxE PE=3 SV=1	sp|Q54KN7|THIO5_DICDI	12 kDa		0
50S ribosomal protein L17.	sp|P0AG44|RL17_ECOLI	14 kDa		1
Myotrophin homolog OS=Dictyostelium discoideum GN=mtpn PE=3 SV=1	sp|Q55FM5|MTPN_DICDI	13 kDa		1
Protein tolB precursor.	sp|P0A855|TOLB_ECOLI	46 kDa		1
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90 kDa		7
AhpC/TSA family protein OS=Dictyostelium discoideum GN=DDB_G0279973 PE=4 SV=1	tr|Q54W09|Q54W09_DICDI	17 kDa	TRUE	0
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		6
"Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Dictyostelium discoideum GN=adhfe1 PE=3 SV=1"	sp|Q54GJ7|HOT_DICDI	60 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	tr|Q75JS7|Q75JS7_DICDI	96 kDa		8
