Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Glycylpeptide N-tetradecanoyltransferase OS=Dictyostelium discoideum GN=nmt PE=3 SV=2	sp|Q553B6|NMT_DICDI	48 kDa	TRUE	4
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa	TRUE	10
Ras-related protein Rab-8A OS=Dictyostelium discoideum GN=rab8A PE=3 SV=1	sp|P20790|RAB8A_DICDI	23 kDa	TRUE	12
Tubulin alpha chain OS=Dictyostelium discoideum GN=tubA PE=1 SV=1	sp|P32255|TBA_DICDI	51 kDa	TRUE	10
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	sp|Q86IV4|Y4775_DICDI	51 kDa		9
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		8
Triosephosphate isomerase OS=Dictyostelium discoideum GN=tpiA PE=3 SV=1	sp|Q869R8|TPIS_DICDI	28 kDa		7
Beta-ureidopropionase OS=Dictyostelium discoideum GN=pyd3 PE=1 SV=1	sp|Q964D8|BUP1_DICDI	44 kDa		2
Myosin ID heavy chain OS=Dictyostelium discoideum GN=myoD PE=1 SV=2	sp|P34109|MYOD_DICDI	124 kDa	TRUE	15
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56 kDa	TRUE	0
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		17
26S proteasome non-ATPase regulatory subunit 6 OS=Dictyostelium discoideum GN=psmD6 PE=2 SV=1	sp|Q55C75|PSMD6_DICDI	44 kDa		7
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa	TRUE	17
Fumarylacetoacetase OS=Dictyostelium discoideum GN=fah PE=3 SV=1	sp|Q1ZXQ1|FAAA_DICDI	47 kDa	TRUE	4
Malate synthase OS=Dictyostelium discoideum GN=masA PE=2 SV=2	sp|Q8T2K9|MASY_DICDI	62 kDa	TRUE	4
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa	TRUE	14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167407 PE=4 SV=1	tr|Q86I47|Q86I47_DICDI	34 kDa		5
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		20
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa	TRUE	2
"Adenylate kinase 2, mitochondrial OS=Dictyostelium discoideum GN=adkA PE=3 SV=1"	sp|Q54QJ9|KAD2_DICDI	31 kDa		6
Proteasome subunit beta type-5 OS=Dictyostelium discoideum GN=psmB5 PE=1 SV=1	sp|Q54BC8|PSB5_DICDI	30 kDa		7
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa	TRUE	31
"Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1"	sp|Q54X95|SYMC_DICDI	83 kDa		10
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17 kDa		23
40S ribosomal protein S8 OS=Dictyostelium discoideum GN=rps8 PE=1 SV=1	sp|Q54E24|RS8_DICDI	24 kDa		13
Profilin-2 OS=Dictyostelium discoideum GN=proB PE=1 SV=1	sp|P26200|PROF2_DICDI	13 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205217 PE=4 SV=1	tr|Q54VB8|Q54VB8_DICDI	33 kDa		10
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205795 PE=4 SV=1	tr|Q54WR3|Q54WR3_DICDI	155 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186139 PE=4 SV=1	tr|Q54PA2|Q54PA2_DICDI	26 kDa	TRUE	20
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	tr|Q54B43|Q54B43_DICDI	97 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168777 PE=4 SV=1	tr|Q75JS7|Q75JS7_DICDI	96 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	sp|Q54QW1|EIF3B_DICDI	78 kDa		0
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53 kDa	TRUE	15
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		12
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa		9
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Dictyostelium discoideum GN=pck2 PE=3 SV=1"	sp|Q869Z4|PCKGM_DICDI	72 kDa		2
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20 kDa	TRUE	10
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa		9
Aminoacylase-1 OS=Dictyostelium discoideum GN=acy1 PE=2 SV=1	sp|Q55DP8|ACY1_DICDI	47 kDa		0
Calcium up-regulated protein F OS=Dictyostelium discoideum GN=cupF PE=2 SV=2	sp|Q7Z1I0|CUPF_DICDI	85 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185931 PE=4 SV=1	tr|Q54PW3|Q54PW3_DICDI	106 kDa		5
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27 kDa		5
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI	42 kDa	TRUE	9
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96 kDa	TRUE	17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217007 PE=4 SV=1	tr|Q75JT6|Q75JT6_DICDI	36 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	tr|Q54F09|Q54F09_DICDI	118 kDa	TRUE	11
Phosphatidylinositol transfer protein 1 OS=Dictyostelium discoideum GN=pitA PE=1 SV=1	sp|Q9NCL8|PITP1_DICDI	31 kDa		3
AP-1 complex subunit beta OS=Dictyostelium discoideum GN=ap1b1 PE=3 SV=1	sp|Q54X82|AP1B_DICDI	107 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI	129 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169413 PE=4 SV=1	tr|Q7KWR1|Q7KWR1_DICDI	41 kDa		2
Translocase of outer mitochondrial membrane OS=Dictyostelium discoideum GN=tom40 PE=4 SV=1	tr|Q76P15|Q76P15_DICDI	36 kDa		0
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		6
40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI	18 kDa	TRUE	25
40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI	16 kDa	TRUE	23
Senescence marker protein-30 family protein OS=Dictyostelium discoideum GN=rgn PE=4 SV=1	tr|Q54ZP3|Q54ZP3_DICDI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168585 PE=4 SV=1	tr|Q86AH5|Q86AH5_DICDI	62 kDa		0
Ubiquinol-cytochrome c reductase iron-sulfur subunit (Fragment) OS=Dictyostelium discoideum GN=ucr PE=3 SV=2	tr|Q54NW9|Q54NW9_DICDI	23 kDa	TRUE	9
Oxysterol-binding protein 8 OS=Dictyostelium discoideum GN=osbH PE=1 SV=1	sp|Q54QP6|OSB8_DICDI	46 kDa		4
60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI	22 kDa	TRUE	14
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		10
Neutral alpha-glucosidase AB OS=Dictyostelium discoideum GN=modA PE=3 SV=1	sp|Q94502|GANAB_DICDI	109 kDa	TRUE	0
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268600 PE=1 SV=2	tr|Q55F82|Q55F82_DICDI	19 kDa	TRUE	20
Uncharacterized protein DDB_G0288155 OS=Dictyostelium discoideum GN=DDB_G0288155 PE=1 SV=1	sp|Q54JC2|Y2881_DICDI	27 kDa		6
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhB PE=3 SV=1"	sp|Q55CC2|DHSB_DICDI	32 kDa		3
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		0
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0295683 PE=4 SV=1	tr|B0G198|B0G198_DICDI	187 kDa		0
Inositol-3-phosphate synthase OS=Dictyostelium discoideum GN=ino1 PE=3 SV=1	sp|Q54N49|INO1_DICDI	57 kDa		0
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa	TRUE	0
Proteasome subunit beta type-1 OS=Dictyostelium discoideum GN=psmB1 PE=3 SV=1	sp|Q86A21|PSB1_DICDI	26 kDa	TRUE	6
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa	TRUE	3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0167345 PE=3 SV=1	tr|Q869L6|Q869L6_DICDI	32 kDa	TRUE	2
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218778 PE=4 SV=1	tr|Q54MF0|Q54MF0_DICDI	118 kDa		0
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169464 PE=4 SV=1	tr|Q75JL8|Q75JL8_DICDI	70 kDa	TRUE	5
Putative uncharacterized protein cnxA OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	tr|Q55BA8|Q55BA8_DICDI	61 kDa		2
Putative calpain-like cysteine protease A OS=Dictyostelium discoideum GN=cplA PE=1 SV=1	sp|Q8MUF9|CPLA_DICDI	73 kDa		2
Small heat shock protein hspK OS=Dictyostelium discoideum GN=hspK PE=3 SV=1	sp|Q86H60|HSPK_DICDI	20 kDa		23
AP-2 complex subunit alpha-2 OS=Dictyostelium discoideum GN=ap2a1-1 PE=3 SV=1	sp|Q86KI1|AP2A2_DICDI	111 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204740 PE=4 SV=1	tr|Q54UV0|Q54UV0_DICDI	147 kDa	TRUE	6
60S ribosomal protein L27a OS=Dictyostelium discoideum GN=rpl27a PE=3 SV=1	sp|P48160|RL27A_DICDI	16 kDa		17
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		9
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=etfa PE=3 SV=1"	sp|Q54FD7|ETFA_DICDI	38 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289265 PE=4 SV=1	tr|Q54HR9|Q54HR9_DICDI	52 kDa		6
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22 kDa		4
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202360 PE=4 SV=1	tr|Q55EJ0|Q55EJ0_DICDI	40 kDa		15
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	sp|Q54XC1|5NTC_DICDI	68 kDa		0
Mitochondrial substrate carrier family protein Z OS=Dictyostelium discoideum GN=mcfZ PE=2 SV=1	sp|Q54B67|MCFZ_DICDI	33 kDa		2
Group IV decarboxylase OS=Dictyostelium discoideum GN=ddcB PE=1 SV=1	tr|Q75JL7|Q75JL7_DICDI	48 kDa	TRUE	6
"Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1"	sp|Q54YD4|SYIC_DICDI	123 kDa	TRUE	3
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa	TRUE	14
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial OS=Dictyostelium discoideum GN=odhA PE=3 SV=1"	sp|Q54VG0|DHTK1_DICDI	102 kDa	TRUE	4
Prespore-specific protein OS=Dictyostelium discoideum GN=3B PE=4 SV=1	tr|Q9BI24|Q9BI24_DICDI	24 kDa		0
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37 kDa	TRUE	4
Probable short/branched chain specific acyl-CoA dehydrogenase OS=Dictyostelium discoideum GN=acadsb PE=3 SV=1	sp|Q54RR5|ACDSB_DICDI	45 kDa		5
Coproporphyrinogen-III oxidase OS=Dictyostelium discoideum GN=cpox PE=3 SV=1	sp|Q54IA7|HEM6_DICDI	38 kDa		9
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		7
Probable E3 ubiquitin-protein ligase DDB_G0283893 OS=Dictyostelium discoideum GN=DDB_G0283893 PE=3 SV=2	sp|Q54QG5|Y3893_DICDI	658 kDa	TRUE	0
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		0
Cytochrome c oxidase subunit 1+2 OS=Dictyostelium discoideum GN=cox1/2 PE=2 SV=1	sp|O21042|COX1_DICDI	86 kDa	TRUE	0
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14 kDa		23
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa	TRUE	5
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa	TRUE	13
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa	TRUE	0
V-type proton ATPase subunit E OS=Dictyostelium discoideum GN=vatE PE=1 SV=1	sp|O00780|VATE_DICDI	27 kDa		5
"ATP synthase subunit O, mitochondrial OS=Dictyostelium discoideum GN=atp5O PE=3 SV=1"	sp|Q54RA8|ATPO_DICDI	33 kDa	TRUE	11
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	sp|Q54EW1|GLYC2_DICDI	54 kDa	TRUE	5
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14 kDa		19
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=1 SV=1	sp|Q54K67|MANG_DICDI	124 kDa	TRUE	0
DNA-directed RNA polymerase beta chain (	sp|P0A8V2|RPOB_ECOLI	151 kDa	TRUE	11
Cofilin-1 OS=Dictyostelium discoideum GN=cofA PE=1 SV=1	sp|P54706|COF1_DICDI	15 kDa		10
Glycoprotein 130 OS=Dictyostelium discoideum GN=gp130 PE=1 SV=1	tr|Q95US4|Q95US4_DICDI	85 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168714 PE=4 SV=1	tr|Q86IL9|Q86IL9_DICDI	31 kDa	TRUE	0
Probable polyketide synthase 45 OS=Dictyostelium discoideum GN=pks45 PE=3 SV=1	sp|Q54B49|PKS45_DICDI	350 kDa	TRUE	0
Ras-related protein Rab-1B OS=Dictyostelium discoideum GN=rab1B PE=2 SV=2	sp|P34140|RAB1B_DICDI	23 kDa	TRUE	0
Leucine-rich repeat protein lrrA OS=Dictyostelium discoideum GN=lrrA PE=1 SV=1	sp|Q54AX5|LRRA_DICDI	57 kDa	TRUE	5
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa	TRUE	4
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa	TRUE	5
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		0
Carbonic anhydrase OS=Dictyostelium discoideum GN=cahA PE=3 SV=1	tr|Q55BU2|Q55BU2_DICDI	31 kDa		3
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa		15
Proteasome subunit beta type-2 OS=Dictyostelium discoideum GN=psmB2 PE=3 SV=1	sp|Q55DY7|PSB2_DICDI	22 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205381 PE=4 SV=1	tr|Q54YA6|Q54YA6_DICDI	72 kDa	TRUE	0
Methionine aminopeptidase 2 OS=Dictyostelium discoideum GN=metap2 PE=3 SV=3	sp|Q55C21|AMPM2_DICDI	49 kDa		0
V-type proton ATPase subunit d OS=Dictyostelium discoideum GN=vatD-1 PE=1 SV=2	sp|P54641|VA0D_DICDI	41 kDa		10
"Cysteinyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=cysS PE=3 SV=1"	sp|Q54KR1|SYCC_DICDI	75 kDa	TRUE	6
40S ribosomal protein S17 OS=Dictyostelium discoideum GN=rps17 PE=3 SV=2	sp|P42520|RS17_DICDI	16 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91 kDa		7
Putative uncharacterized protein dnajc13 OS=Dictyostelium discoideum GN=dnajc13 PE=4 SV=1	tr|Q54LZ3|Q54LZ3_DICDI	292 kDa	TRUE	2
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa		0
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		11
Probable plasma membrane ATPase OS=Dictyostelium discoideum GN=patB PE=2 SV=2	sp|P54679|PMA1_DICDI	117 kDa	TRUE	0
Coactosin OS=Dictyostelium discoideum GN=coaA PE=1 SV=1	sp|P34121|COAA_DICDI	16 kDa	TRUE	12
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa		19
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	sp|Q23892|GLUA_DICDI	89 kDa	TRUE	0
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa		3
Probable lanosterol 14-alpha demethylase OS=Dictyostelium discoideum GN=cyp51 PE=3 SV=1	sp|Q1ZXH9|CP51_DICDI	53 kDa		10
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa	TRUE	9
Xaa-Pro aminopeptidase 1 OS=Dictyostelium discoideum GN=xpnpep1 PE=3 SV=1	sp|Q54G06|XPP1_DICDI	71 kDa	TRUE	0
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	tr|Q55AN3|Q55AN3_DICDI	52 kDa	TRUE	6
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=wdr23 PE=4 SV=1	tr|Q54E28|Q54E28_DICDI	77 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184078 PE=4 SV=1	tr|Q54E45|Q54E45_DICDI	72 kDa		6
NADH-cytochrome b5 reductase 1 OS=Dictyostelium discoideum GN=cyb5r1 PE=3 SV=1	sp|Q54NC1|NCB5R_DICDI	32 kDa		2
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa	TRUE	9
Proteasome subunit alpha type-1 OS=Dictyostelium discoideum GN=psmA1 PE=3 SV=1	sp|Q27562|PSA1_DICDI	28 kDa		5
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		6
Phospholipase B-like protein A OS=Dictyostelium discoideum GN=plbA PE=1 SV=1	sp|Q550U9|PLBLA_DICDI	65 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188918 PE=4 SV=1	rtr|Q54G03|Q54G03_DICDI	82 kDa	TRUE	0
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60 kDa	TRUE	9
NADPH oxidoreductase A OS=Dictyostelium discoideum GN=redA PE=2 SV=1	sp|Q54B10|REDA_DICDI	71 kDa		7
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		3
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		5
50S ribosomal protein L19.	sp|P0A7K6|RL19_ECOLI	13 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218384 PE=4 SV=1	tr|Q54SF2|Q54SF2_DICDI	40 kDa		3
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0188965 PE=4 SV=1	tr|Q54FV6|Q54FV6_DICDI	53 kDa		0
Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI	22 kDa	TRUE	4
60S ribosomal protein L24 OS=Dictyostelium discoideum GN=rpl24 PE=3 SV=1	sp|Q54VN6|RL24_DICDI	15 kDa		5
"Superoxide dismutase [Mn], mitochondrial OS=Dictyostelium discoideum GN=sod2 PE=3 SV=1"	sp|Q55BJ9|SODM_DICDI	25 kDa		5
"Homogentisate 1,2-dioxygenase OS=Dictyostelium discoideum GN=hgd PE=2 SV=1"	sp|Q54QI4|HGD_DICDI	48 kDa		7
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa		8
"HAD superfamily hydrolase-like, type 3 OS=Dictyostelium discoideum GN=DDB_0169374 PE=4 SV=1"	tr|Q86KT5|Q86KT5_DICDI	33 kDa		3
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Dictyostelium discoideum GN=ppp6c PE=2 SV=2	sp|Q9U9A3|PPP6_DICDI	35 kDa	TRUE	7
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281151 PE=4 SV=1	tr|Q54UD1|Q54UD1_DICDI	87 kDa	TRUE	0
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Dictyostelium discoideum GN=qprt PE=3 SV=1	sp|Q75JX0|NADC_DICDI	33 kDa		4
"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=acad8 PE=3 SV=1"	sp|Q54IM8|ACAD8_DICDI	46 kDa		5
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0191760 PE=4 SV=1	tr|Q54CB5|Q54CB5_DICDI	274 kDa		0
Putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0278295 OS=Dictyostelium discoideum GN=DDB_G0278295 PE=2 SV=1	sp|Q54YD2|Y8295_DICDI	15 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186613 PE=4 SV=1	tr|Q54MX6|Q54MX6_DICDI	27 kDa		0
Penta-EF hand domain-containing protein 1 OS=Dictyostelium discoideum GN=pefA PE=1 SV=1	sp|Q95YL5|PEFA_DICDI	22 kDa		3
26S proteasome non-ATPase regulatory subunit 12 OS=Dictyostelium discoideum GN=psmD12 PE=2 SV=1	sp|Q54UJ0|PSD12_DICDI	52 kDa		0
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15 kDa		17
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		0
5'-3' exoribonuclease OS=Dictyostelium discoideum GN=xrn2 PE=4 SV=1	tr|Q55CS4|Q55CS4_DICDI	137 kDa	TRUE	0
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsC PE=3 SV=1"	sp|Q55AI5|SUCB1_DICDI	48 kDa		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290537 PE=3 SV=1	tr|Q54FY1|Q54FY1_DICDI	54 kDa	TRUE	9
