Identified Proteins (942)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	GST-GppNHp
T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=3 SV=2	tr|F5GWF6|F5GWF6_HUMAN	57 kDa	TRUE	14
Integrin-linked protein kinase OS=Homo sapiens GN=ILK PE=2 SV=1	tr|B7Z418|B7Z418_HUMAN	44 kDa	TRUE	12
"Heat shock 105kDa/110kDa protein 1, isoform CRA_b OS=Homo sapiens GN=HSPH1 PE=2 SV=1"	tr|B4DYH1|B4DYH1_HUMAN	97 kDa	TRUE	0
General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=4 SV=1	tr|F5H4X1|F5H4X1_HUMAN	106 kDa	TRUE	0
Putative uncharacterized protein OS=Escherichia coli GN=LF82_741 PE=4 SV=1	REVtr|E2QLB4|E2QLB4_ECOLX	45 kDa		0
NadH dehydrogenase OS=Escherichia coli GN=ndh PE=4 SV=1	tr|E2QKJ3|E2QKJ3_ECOLX	47 kDa	TRUE	0
Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens GN=PPP6R3 PE=4 SV=1	tr|E9PKF6|E9PKF6_HUMAN (+1)	94 kDa	TRUE	0
Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase OS=Escherichia coli GN=arnC PE=3 SV=1	tr|E2QPB9|E2QPB9_ECOLX	36 kDa	TRUE	0
Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=2 SV=1	tr|B7Z4B8|B7Z4B8_HUMAN	86 kDa		0
Kaliocin-1 (Fragment) OS=Homo sapiens GN=LTF PE=4 SV=1	tr|E7EQB2|E7EQB2_HUMAN (+1)	77 kDa		5
Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=2 SV=1	tr|B7Z6Z4|B7Z6Z4_HUMAN	27 kDa		4
Exonuclease sbcC OS=Escherichia coli GN=sbcC PE=4 SV=1	tr|E2QGE1|E2QGE1_ECOLX	119 kDa		0
30S ribosomal protein S11 OS=Escherichia coli GN=rpsK PE=3 SV=1	tr|C3SR57|C3SR57_ECOLX	14 kDa		0
Serine/threonine-protein kinase MRCK beta (Fragment) OS=Homo sapiens GN=CDC42BPB PE=4 SV=1	tr|H0YLY0|H0YLY0_HUMAN	75 kDa		2
Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=4 SV=1	tr|D6REX3|D6REX3_HUMAN	136 kDa	TRUE	2
Rho guanine nucleotide exchange factor 4 OS=Homo sapiens GN=ARHGEF4 PE=4 SV=1	tr|E7EV07|E7EV07_HUMAN	108 kDa	TRUE	0
Dihydrolipoyllysine-residue acetyltransferase component OS=Escherichia coli GN=aceF PE=3 SV=1	tr|E2QF45|E2QF45_ECOLX	66 kDa		0
DNA polymerase III subunit alpha OS=Escherichia coli GN=dnae PE=4 SV=1	tr|E2QFB1|E2QFB1_ECOLX	130 kDa		0
Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=4 SV=1	tr|E9PLK3|E9PLK3_HUMAN	103 kDa	TRUE	9
Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=3 SV=1	tr|E7ERL0|E7ERL0_HUMAN	15 kDa	TRUE	9
"Rho GTPase activating protein 25, isoform CRA_a OS=Homo sapiens GN=ARHGAP25 PE=4 SV=1"	tr|G5E9G2|G5E9G2_HUMAN	73 kDa		2
Protein ydcF OS=Escherichia coli GN=ydcF PE=4 SV=1	REVtr|E2QLX2|E2QLX2_ECOLX	30 kDa		0
"Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=3 SV=1"	tr|F8W1S1|F8W1S1_HUMAN	59 kDa	TRUE	2
Ras GTPase-activating-like protein IQGAP1 (Fragment) OS=Homo sapiens GN=IQGAP1 PE=4 SV=1	tr|H0YKA5|H0YKA5_HUMAN	5 kDa		0
Rho-associated protein kinase 2 OS=Homo sapiens GN=ROCK2 PE=4 SV=1	tr|E9PF63|E9PF63_HUMAN	133 kDa	TRUE	4
Protein ydgA OS=Escherichia coli GN=ydgA PE=4 SV=1	tr|E2QMH7|E2QMH7_ECOLX	55 kDa		0
Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=3 SV=1	tr|F5H737|F5H737_HUMAN	45 kDa		11
GTP-binding protein typA/bipA OS=Escherichia coli GN=typA PE=4 SV=1	tr|C3SJN7|C3SJN7_ECOLX	67 kDa		0
Tripartite motif-containing protein 67 OS=Homo sapiens GN=TRIM67 PE=4 SV=1	tr|F8W8C1|F8W8C1_HUMAN	84 kDa		0
Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=4 SV=1	tr|F8WE78|F8WE78_HUMAN	15 kDa		0
Probable ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=4 SV=1	tr|F5GZS0|F5GZS0_HUMAN	113 kDa		0
Nucleoside permease nupC OS=Escherichia coli GN=nupC PE=4 SV=1	tr|E2QPN5|E2QPN5_ECOLX	43 kDa		0
UDP-glucose 6-dehydrogenase OS=Escherichia coli GN=ugd PE=3 SV=1	tr|E2QNQ3|E2QNQ3_ECOLX	44 kDa	TRUE	0
Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=4 SV=1	tr|G3XAD8|G3XAD8_HUMAN	68 kDa	TRUE	9
Glia maturation factor beta (Fragment) OS=Homo sapiens GN=GMFB PE=4 SV=1	tr|G3V4P8|G3V4P8_HUMAN	18 kDa	TRUE	6
Septin-7 OS=Homo sapiens GN=SEPT7 PE=3 SV=1	tr|E7EPK1|E7EPK1_HUMAN (+1)	51 kDa		17
ATP synthase gamma chain OS=Escherichia coli GN=atpG PE=3 SV=1	tr|C3SLA2|C3SLA2_ECOLX	32 kDa		0
"Archain 1, isoform CRA_a OS=Homo sapiens GN=ARCN1 PE=4 SV=1"	tr|B0YIW6|B0YIW6_HUMAN	62 kDa		11
Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=4 SV=1	tr|E9PAU2|E9PAU2_HUMAN	80 kDa		0
Mastermind-like protein 3 OS=Homo sapiens GN=MAML3 PE=4 SV=1	REVtr|E7EVW8|E7EVW8_HUMAN	122 kDa		0
Formate acetyltransferase 3 OS=Escherichia coli GN=ybiW PE=4 SV=1	tr|E2QII9|E2QII9_ECOLX	90 kDa	TRUE	0
Putative high mobility group protein B1-like 1 OS=Homo sapiens GN=HMGB1P1 PE=5 SV=1	sp|B2RPK0|HGB1A_HUMAN	24 kDa	TRUE	0
Protein hflK OS=Escherichia coli GN=hflK PE=4 SV=1	tr|E2QKA8|E2QKA8_ECOLX	46 kDa		0
Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=4 SV=2	tr|A8MY36|A8MY36_HUMAN (+3)	141 kDa		4
14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=4 SV=1	tr|B4DJF2|B4DJF2_HUMAN	11 kDa	TRUE	0
50S ribosomal protein L11 OS=Escherichia coli GN=rplK PE=3 SV=1	tr|C3SIC7|C3SIC7_ECOLX	15 kDa		0
Glucose-6-phosphate isomerase OS=Escherichia coli GN=pgi PE=3 SV=1	tr|E2QJ55|E2QJ55_ECOLX	62 kDa		18
Ras-related protein Rap-1b-like protein OS=Homo sapiens PE=2 SV=1	sp|A6NIZ1|RP1BL_HUMAN	21 kDa	TRUE	0
UPF0092 membrane protein yajC OS=Escherichia coli GN=yajC PE=4 SV=1	tr|C3TM82|C3TM82_ECOLX	12 kDa		0
"Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli GN=hemL PE=3 SV=1"	tr|E2QF83|E2QF83_ECOLX	45 kDa		0
Chromosomal replication initiator protein DnaA OS=Escherichia coli GN=dnaA PE=3 SV=1	tr|E2QHP1|E2QHP1_ECOLX	53 kDa		0
Tyrosine-protein phosphatase non-receptor type 6 (Fragment) OS=Homo sapiens GN=PTPN6 PE=4 SV=1	tr|F5H0N8|F5H0N8_HUMAN	18 kDa	TRUE	15
Enolase OS=Escherichia coli GN=eno PE=3 SV=1	tr|C3SX72|C3SX72_ECOLX	46 kDa		0
Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=4 SV=1	tr|D3DQV9|D3DQV9_HUMAN	102 kDa	TRUE	2
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=3 SV=1	tr|E7EQR6|E7EQR6_HUMAN	44 kDa	TRUE	12
3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli GN=ubiG PE=3 SV=1	tr|E2QP98|E2QP98_ECOLX	27 kDa		0
50S ribosomal protein L18 OS=Escherichia coli GN=rplR PE=3 SV=1	tr|C3SR22|C3SR22_ECOLX	13 kDa		0
Galactitol-specific phosphotransferase enzyme IIA OS=Escherichia coli GN=gatA PE=4 SV=1	tr|E2QNW2|E2QNW2_ECOLX	17 kDa	TRUE	0
ADAMTS-like protein 4 OS=Homo sapiens GN=ADAMTSL4 PE=4 SV=1	tr|F8WAD0|F8WAD0_HUMAN	119 kDa		0
SH3 and multiple ankyrin repeat domains protein 3 OS=Homo sapiens GN=SHANK3 PE=4 SV=1	tr|F2Z3L0|F2Z3L0_HUMAN	186 kDa		0
V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=2 SV=1	tr|B7Z1R5|B7Z1R5_HUMAN	65 kDa		8
Acetyl-CoA acetyltransferase OS=Escherichia coli GN=yqeF PE=3 SV=1	tr|E2QQW4|E2QQW4_ECOLX	41 kDa	TRUE	0
Zyxin (Fragment) OS=Homo sapiens GN=ZYX PE=4 SV=1	tr|H0Y2Y8|H0Y2Y8_HUMAN	58 kDa	TRUE	3
Glucans biosynthesis glucosyltransferase H OS=Escherichia coli GN=mdoH PE=3 SV=1	tr|E2QJT3|E2QJT3_ECOLX	97 kDa		0
Malate dehydrogenase OS=Homo sapiens GN=MDH1 PE=3 SV=1	tr|F5H098|F5H098_HUMAN	39 kDa		4
Dihydroorotate dehydrogenase (quinone) OS=Escherichia coli GN=pyrD PE=3 SV=1	tr|E2QJE9|E2QJE9_ECOLX	37 kDa		0
SH3 domain-binding protein 1 OS=Homo sapiens GN=SH3BP1 PE=4 SV=1	tr|F5GZA8|F5GZA8_HUMAN	55 kDa	TRUE	7
Penicillin-binding protein 1A OS=Escherichia coli GN=mrcA PE=4 SV=1	tr|E2QFP6|E2QFP6_ECOLX	95 kDa		0
DNA repair protein radA OS=Escherichia coli GN=sms PE=3 SV=1	tr|C3SE38|C3SE38_ECOLX	49 kDa		0
Protease specific for phage lambda cII repressor OS=Escherichia coli GN=hflC PE=4 SV=1	tr|C3SG27|C3SG27_ECOLX	38 kDa	TRUE	0
30S ribosomal protein S7 OS=Escherichia coli GN=rpsG PE=3 SV=1	tr|C3SQS2|C3SQS2_ECOLX	18 kDa	TRUE	0
Protein damX OS=Escherichia coli GN=damX PE=4 SV=1	tr|E2QFN8|E2QFN8_ECOLX	46 kDa		0
Serine/threonine-protein kinase WNK2 OS=Homo sapiens GN=WNK2 PE=4 SV=1	REVtr|F8W9F9|F8W9F9_HUMAN (+1)	234 kDa	TRUE	2
"Tail component of prophageCP-933K, Pu tat ive tail length tape measure protein (EC 271-), Putat ive t ail length tape measure protein OS=Escherichia coli GN=LF82_267 PE=4 SV=1"	tr|E2QMA2|E2QMA2_ECOLX	112 kDa	TRUE	0
Ugl-Y3 OS=Homo sapiens GN=FN1 PE=4 SV=1	tr|F8W7G7|F8W7G7_HUMAN (+1)	243 kDa	TRUE	0
Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=2 SV=1	tr|B4DT31|B4DT31_HUMAN (+1)	70 kDa	TRUE	6
Succinate dehydrogenase hydrophobic membrane anchor OS=Escherichia coli GN=sdhD PE=4 SV=1	tr|E2QI96|E2QI96_ECOLX	13 kDa		0
Annexin OS=Homo sapiens GN=ANXA11 PE=2 SV=1	tr|B4DVE7|B4DVE7_HUMAN	51 kDa	TRUE	10
T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=2 SV=1	tr|B7Z9L0|B7Z9L0_HUMAN	52 kDa	TRUE	10
Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens GN=RAP1GDS1 PE=4 SV=1	tr|E9PH06|E9PH06_HUMAN	57 kDa	TRUE	0
Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=2 SV=1	tr|B7ZAV6|B7ZAV6_HUMAN (+1)	81 kDa	TRUE	8
Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=4 SV=1	tr|E9PP21|E9PP21_HUMAN	17 kDa	TRUE	5
LPS-assembly lipoprotein LptE OS=Escherichia coli GN=lptE PE=3 SV=1	tr|E2QHK1|E2QHK1_ECOLX	21 kDa	TRUE	0
NADH-quinone oxidoreductase subunit A OS=Escherichia coli GN=nuoA PE=3 SV=1	tr|C3T2B2|C3T2B2_ECOLX	16 kDa		0
Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli GN=fabi PE=3 SV=1	tr|E2QLQ0|E2QLQ0_ECOLX	28 kDa		0
CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1 PE=4 SV=1	tr|F5H0N7|F5H0N7_HUMAN	116 kDa	TRUE	3
DNA translocase ftsK OS=Escherichia coli GN=ftsK PE=4 SV=1	tr|E2QJA4|E2QJA4_ECOLX	149 kDa		0
Cohesin subunit SA-2 OS=Homo sapiens GN=STAG2 PE=4 SV=1	tr|F8WAK8|F8WAK8_HUMAN	134 kDa	TRUE	4
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Homo sapiens GN=ANKRD44 PE=4 SV=1	tr|H7BXV4|H7BXV4_HUMAN	100 kDa	TRUE	0
Importin-5 OS=Homo sapiens GN=IPO5 PE=2 SV=1	tr|B4E0R6|B4E0R6_HUMAN	109 kDa		3
Protein SCAF8 OS=Homo sapiens GN=SCAF8 PE=2 SV=1	tr|B7Z888|B7Z888_HUMAN	147 kDa	TRUE	0
Protein fxsA OS=Escherichia coli GN=fxsA PE=4 SV=1	tr|C3SGG2|C3SGG2_ECOLX	18 kDa		0
Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=4 SV=1	tr|E7EQV3|E7EQV3_HUMAN	66 kDa	TRUE	6
Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=4 SV=1	tr|D6RG15|D6RG15_HUMAN	29 kDa	TRUE	10
Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli GN=arnA PE=3 SV=1	tr|E2QPC0|E2QPC0_ECOLX	74 kDa		0
Ribose-phosphate pyrophosphokinase OS=Escherichia coli GN=prsA PE=3 SV=1	tr|Q2EVI2|Q2EVI2_ECOLX	34 kDa		0
50S ribosomal protein L20 OS=Escherichia coli GN=rplT PE=3 SV=1	tr|C3T7Q7|C3T7Q7_ECOLX	13 kDa		0
Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=1	tr|F5H747|F5H747_HUMAN	18 kDa		0
UPF0141 membrane protein yjdB OS=Escherichia coli GN=eptA PE=4 SV=1	tr|E2QK06|E2QK06_ECOLX	62 kDa		0
Protein phosphatase 1B (Fragment) OS=Homo sapiens GN=PPM1B PE=3 SV=1	tr|C9JIR6|C9JIR6_HUMAN	42 kDa	TRUE	3
A late step of protoheme IX synthesis OS=Escherichia coli GN=hemY PE=4 SV=1	tr|C3SKH2|C3SKH2_ECOLX	45 kDa		0
"Selenide, water dikinase OS=Escherichia coli GN=selD PE=3 SV=1"	tr|C3T727|C3T727_ECOLX	37 kDa		0
Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=2 SV=1	tr|B4DXP5|B4DXP5_HUMAN (+3)	34 kDa	TRUE	9
Protein FAM49B (Fragment) OS=Homo sapiens GN=FAM49B PE=4 SV=1	tr|E5RI16|E5RI16_HUMAN	17 kDa		2
50S ribosomal protein L28 OS=Escherichia coli GN=rpmB PE=3 SV=1	tr|C3SME2|C3SME2_ECOLX	9 kDa	TRUE	0
Ras-related protein Rab-6A (Fragment) OS=Homo sapiens GN=RAB6A PE=3 SV=1	tr|H0YGL6|H0YGL6_HUMAN	23 kDa	TRUE	0
NADH-quinone oxidoreductase subunit I OS=Escherichia coli GN=nuoI PE=3 SV=1	tr|C3T2E7|C3T2E7_ECOLX	21 kDa	TRUE	0
FYVE and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=FYCO1 PE=2 SV=1	tr|B7ZKT7|B7ZKT7_HUMAN	169 kDa	TRUE	2
Protocadherin-7 OS=Homo sapiens GN=PCDH7 PE=4 SV=1	REVtr|F5GWJ1|F5GWJ1_HUMAN	137 kDa		0
GTP-binding nuclear protein Ran (Fragment) OS=Homo sapiens GN=RAN PE=4 SV=1	tr|F5H018|F5H018_HUMAN	23 kDa		4
Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=4 SV=1	tr|G8JLH9|G8JLH9_HUMAN	76 kDa	TRUE	5
Citrate synthase OS=Escherichia coli GN=gltA PE=3 SV=1	tr|E2QI94|E2QI94_ECOLX	48 kDa		0
Tryptophan synthase beta chain OS=Escherichia coli GN=trpB PE=3 SV=1	tr|E2QLM1|E2QLM1_ECOLX	43 kDa	TRUE	0
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli GN=murG PE=3 SV=1	tr|E2QF18|E2QF18_ECOLX	38 kDa		0
Copine I OS=Homo sapiens GN=CPNE1 PE=4 SV=1	tr|B0QZ18|B0QZ18_HUMAN (+1)	60 kDa	TRUE	6
Aconitate hydratase 2 OS=Escherichia coli GN=acnB PE=3 SV=1	tr|E2QF48|E2QF48_ECOLX	93 kDa		0
Uncharacterized protein ydiJ OS=Escherichia coli GN=ydiJ PE=4 SV=1	tr|E2QMP8|E2QMP8_ECOLX	113 kDa		0
PTS system trehalose-specific EIIBC component OS=Escherichia coli GN=treB PE=4 SV=1	tr|E2QL31|E2QL31_ECOLX	51 kDa		0
Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOC PE=3 SV=1	tr|A8MVZ9|A8MVZ9_HUMAN	36 kDa	TRUE	9
Uncharacterized lipoprotein ydcL OS=Escherichia coli GN=ydcL PE=4 SV=1	tr|C3TAU7|C3TAU7_ECOLX	24 kDa		0
Outer-membrane lipoprotein LolB OS=Escherichia coli GN=lolB PE=3 SV=1	tr|E2QKY9|E2QKY9_ECOLX	24 kDa		0
S-adenosylmethionine synthase OS=Escherichia coli GN=metK PE=3 SV=1	tr|C3SV92|C3SV92_ECOLX	42 kDa		0
Septin 6 OS=Homo sapiens GN=SEPT6 PE=3 SV=1	tr|B1AMS2|B1AMS2_HUMAN (+1)	49 kDa	TRUE	13
USG-1 protein OS=Escherichia coli GN=usg PE=3 SV=1	tr|E2QPI0|E2QPI0_ECOLX	36 kDa		0
Transcription termination/antitermination protein nusG OS=Escherichia coli GN=nusG PE=3 SV=1	tr|E2QJ08|E2QJ08_ECOLX	21 kDa		0
Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=3 SV=1	tr|F5H8J2|F5H8J2_HUMAN (+1)	51 kDa	TRUE	6
Vigilin (Fragment) OS=Homo sapiens GN=HDLBP PE=4 SV=1	tr|H0Y394|H0Y394_HUMAN	109 kDa		2
V-type proton ATPase subunit D OS=Homo sapiens GN=ATP6V1D PE=4 SV=1	tr|G3V2S6|G3V2S6_HUMAN	22 kDa		0
Differentially-expressed in FDCP 6 homolog OS=Homo sapiens GN=DEF6 PE=4 SV=1	tr|F5H853|F5H853_HUMAN	44 kDa	TRUE	5
Lipoprotein OS=Escherichia coli GN=nlpD PE=4 SV=1	tr|E2QQJ4|E2QQJ4_ECOLX	40 kDa		0
Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=3 SV=1	tr|E9PKL7|E9PKL7_HUMAN	21 kDa		0
3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ OS=Escherichia coli GN=fabZ PE=3 SV=1	tr|C3TPH7|C3TPH7_ECOLX	17 kDa		0
Cation efflux system protein cusC OS=Escherichia coli GN=cusC PE=4 SV=1	tr|E2QHD2|E2QHD2_ECOLX	51 kDa		0
Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=3 SV=1	tr|E9PLD0|E9PLD0_HUMAN	18 kDa	TRUE	0
Peptidyl-prolyl cis-trans isomerase OS=Escherichia coli GN=slyD PE=4 SV=1	tr|C3SQN2|C3SQN2_ECOLX	21 kDa		0
Rho GTPase-activating protein 4 OS=Homo sapiens GN=ARHGAP4 PE=4 SV=1	tr|E7EQN5|E7EQN5_HUMAN (+1)	103 kDa		0
PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli GN=nagE PE=4 SV=1	tr|E2QI58|E2QI58_ECOLX	68 kDa		0
Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=2 SV=1	tr|B4DUI3|B4DUI3_HUMAN	23 kDa		6
C-myc promoter-binding protein (Fragment) OS=Homo sapiens GN=DENND4A PE=4 SV=1	tr|H3BTW5|H3BTW5_HUMAN	113 kDa	TRUE	0
Putative tropomyosin alpha-3 chain-like protein OS=Homo sapiens PE=5 SV=2	sp|A6NL28|TPM3L_HUMAN	26 kDa	TRUE	0
Histone H2B OS=Homo sapiens GN=HIST2H2BF PE=2 SV=1	tr|B4DR52|B4DR52_HUMAN	18 kDa		0
Annexin OS=Homo sapiens GN=ANXA5 PE=3 SV=1	tr|D6RBL5|D6RBL5_HUMAN	29 kDa	TRUE	2
Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=4 SV=2	tr|A6NJG9|A6NJG9_HUMAN (+1)	29 kDa	TRUE	6
Structural maintenance of chromosomes protein 1A (Fragment) OS=Homo sapiens GN=SMC1A PE=4 SV=1	tr|H0Y7K8|H0Y7K8_HUMAN	34 kDa	TRUE	8
HTH-type transcriptional regulator cysB OS=Escherichia coli GN=cysB PE=4 SV=1	tr|C3TC57|C3TC57_ECOLX	36 kDa		0
Chromosome 10 open reading frame 68 OS=Homo sapiens GN=C10orf68 PE=4 SV=1	tr|A2A3D6|A2A3D6_HUMAN	67 kDa		0
Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3CL PE=4 SV=1	tr|B5ME19|B5ME19_HUMAN (+1)	105 kDa		3
Protein FAM65A (Fragment) OS=Homo sapiens GN=FAM65A PE=4 SV=1	tr|H0Y442|H0Y442_HUMAN	131 kDa	TRUE	0
Protein translocase subunit SecD OS=Escherichia coli GN=secD PE=3 SV=1	tr|E2QGF2|E2QGF2_ECOLX	67 kDa		0
"Phosphodiesterase 5A, cGMP-specific, isoform CRA_a OS=Homo sapiens GN=PDE5A PE=4 SV=1"	tr|G5E9C5|G5E9C5_HUMAN	94 kDa	TRUE	5
Signal peptidase I OS=Escherichia coli GN=lepB PE=3 SV=1	tr|C3SZ57|C3SZ57_ECOLX	36 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3S3 PE=2 SV=1	tr|B3KS98|B3KS98_HUMAN	42 kDa		3
DnaJ-like protein DjlA OS=Escherichia coli GN=djlA PE=3 SV=1	tr|E2QEY6|E2QEY6_ECOLX	31 kDa	TRUE	0
Valine--tRNA ligase OS=Escherichia coli GN=valS PE=3 SV=1	tr|E2QL48|E2QL48_ECOLX	108 kDa		0
"Splicing factor, proline- and glutamine-rich (Fragment) OS=Homo sapiens GN=SFPQ PE=4 SV=1"	tr|H0Y9K7|H0Y9K7_HUMAN	26 kDa		0
PhoH-like protein OS=Escherichia coli GN=ybeZ PE=4 SV=1	tr|C3TJ62|C3TJ62_ECOLX	41 kDa	TRUE	0
Protease La homolog OS=Escherichia coli GN=ycbZ PE=4 SV=1	tr|E2QJF9|E2QJF9_ECOLX	66 kDa		0
Lymphocyte-specific protein 1 OS=Homo sapiens GN=LSP1 PE=4 SV=1	tr|E9PBV6|E9PBV6_HUMAN (+1)	30 kDa		5
PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=4 SV=1	tr|D6RB78|D6RB78_HUMAN	68 kDa	TRUE	3
Hexokinase-1 OS=Homo sapiens GN=HK1 PE=4 SV=1	tr|E7ENR4|E7ENR4_HUMAN	106 kDa	TRUE	0
Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=4 SV=1	tr|E7EWI9|E7EWI9_HUMAN	34 kDa	TRUE	2
Lactose operon repressor OS=Escherichia coli GN=lacI PE=4 SV=1	tr|E2QGA5|E2QGA5_ECOLX	39 kDa		0
Cytochrome o ubiquinol oxidase subunit I OS=Escherichia coli GN=cyoB PE=3 SV=1	tr|C3TLW2|C3TLW2_ECOLX	74 kDa		0
50S ribosomal protein L3 OS=Escherichia coli GN=rplC PE=3 SV=1	tr|C3SQU2|C3SQU2_ECOLX	22 kDa		0
Thioredoxin OS=Homo sapiens GN=TXN PE=4 SV=1	tr|B1ALW1|B1ALW1_HUMAN	9 kDa		0
Ras-related protein Rab-35 (Fragment) OS=Homo sapiens GN=RAB35 PE=3 SV=1	tr|F5H157|F5H157_HUMAN	21 kDa	TRUE	0
AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=2 SV=1	tr|B3KXW5|B3KXW5_HUMAN	94 kDa		4
30S ribosomal protein S2 OS=Escherichia coli GN=rpsB PE=3 SV=1	tr|C3TPN2|C3TPN2_ECOLX	27 kDa		0
Radixin OS=Homo sapiens GN=RDX PE=2 SV=1	tr|A7YIJ8|A7YIJ8_HUMAN	71 kDa	TRUE	28
RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=2 SV=1	tr|B3KQ59|B3KQ59_HUMAN	46 kDa		2
"Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=3 SV=1"	tr|E7ERI3|E7ERI3_HUMAN	70 kDa	TRUE	6
Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=4 SV=1	tr|H3BT58|H3BT58_HUMAN	8 kDa		2
"Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=4 SV=1"	tr|A6NG06|A6NG06_HUMAN	17 kDa		2
33 kDa chaperonin OS=Escherichia coli GN=hslO PE=3 SV=1	tr|E2QFQ1|E2QFQ1_ECOLX	33 kDa		0
Ribosomal protein S6 kinase OS=Homo sapiens GN=RPS6KA1 PE=3 SV=1	tr|E9PGT3|E9PGT3_HUMAN (+1)	81 kDa	TRUE	0
60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=3 SV=1	tr|B9ZVP7|B9ZVP7_HUMAN	12 kDa	TRUE	0
Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=2 SV=1	tr|B4E0K5|B4E0K5_HUMAN	32 kDa	TRUE	7
50S ribosomal protein L25 OS=Escherichia coli GN=rplY PE=3 SV=1	tr|E2QP51|E2QP51_ECOLX	11 kDa		0
DNA replication and repair protein RecF OS=Escherichia coli GN=recF PE=3 SV=1	tr|C3SLM7|C3SLM7_ECOLX	41 kDa		0
Signal recognition particle receptor FtsY OS=Escherichia coli GN=ftsY PE=3 SV=1	tr|E2QFW8|E2QFW8_ECOLX	55 kDa		0
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=4 SV=1	tr|E9PCY7|E9PCY7_HUMAN	47 kDa		0
Membrane-bound lytic murein transglycosylase A OS=Escherichia coli GN=mltA PE=4 SV=1	tr|E2QQQ9|E2QQQ9_ECOLX	40 kDa	TRUE	0
