Identified Proteins (998)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasC-GST-PO
Probable cytoplasmic aconitate hydratase OS=Dictyostelium discoideum GN=aco1 PE=3 SV=1	sp|Q54X73|ACOC_DICDI	98 kDa		8
"Elongation factor G, mitochondrial OS=Dictyostelium discoideum GN=gfm1 PE=3 SV=1"	sp|Q55E94|EFGM_DICDI	82 kDa		7
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa	TRUE	10
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa		7
50S ribosomal protein L22.	sp|P61175|RL22_ECOLI	12 kDa		7
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16 kDa		7
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		8
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsC PE=3 SV=1"	sp|Q55AI5|SUCB1_DICDI	48 kDa		8
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Dictyostelium discoideum GN=ppp6c PE=2 SV=2	sp|Q9U9A3|PPP6_DICDI	35 kDa		7
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa		5
Myosin ID heavy chain OS=Dictyostelium discoideum GN=myoD PE=1 SV=2	sp|P34109|MYOD_DICDI	124 kDa	TRUE	9
Lipoprotein 34 precursor.	sp|P0A903|NLPB_ECOLI	37 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191714 PE=4 SV=1	tr|Q54CF7|Q54CF7_DICDI	55 kDa		6
Probable plasma membrane ATPase OS=Dictyostelium discoideum GN=patB PE=2 SV=2	sp|P54679|PMA1_DICDI	117 kDa		8
Undecaprenyl-phosphate 4-deoxy-4-formami	sp|P77757|ARNC_ECOLI	36 kDa		6
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa	TRUE	9
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53 kDa		8
"Apoptosis-inducing factor 1, mitochondrial OS=Dictyostelium discoideum GN=aif PE=2 SV=1"	sp|Q9GRX6|AIFM1_DICDI	60 kDa		7
26S proteasome non-ATPase regulatory subunit 12 OS=Dictyostelium discoideum GN=psmD12 PE=2 SV=1	sp|Q54UJ0|PSD12_DICDI	52 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0284705 PE=4 SV=1	tr|Q54P88|Q54P88_DICDI	50 kDa		8
Cystathionine beta-synthase OS=Dictyostelium discoideum GN=cysB PE=2 SV=2	sp|P46794|CBS_DICDI	54 kDa		8
Vacuolar protein sorting-associated protein 29 OS=Dictyostelium discoideum GN=vps29 PE=3 SV=1	sp|Q54IF7|VPS29_DICDI	20 kDa		8
"Probable saccharopine dehydrogenase [NADP+, L-glutamate-forming] OS=Dictyostelium discoideum GN=sdh PE=2 SV=1"	sp|Q54NG9|SCPDH_DICDI	53 kDa	TRUE	6
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa		4
Guanylate kinase (EC 2.7.4.8) (GMP kinas	sp|P60546|KGUA_ECOLI	24 kDa		6
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		6
WD repeat-containing protein 2 homolog OS=Dictyostelium discoideum GN=wdpA PE=2 SV=2	sp|P54686|WD42_DICDI	64 kDa		7
Cathepsin Z OS=Dictyostelium discoideum GN=ctsZ PE=1 SV=1	tr|Q54R55|Q54R55_DICDI	33 kDa		6
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	sp|P00962|SYQ_ECOLI	63 kDa		2
Proteasome subunit beta type-5 OS=Dictyostelium discoideum GN=psmB5 PE=1 SV=1	sp|Q54BC8|PSB5_DICDI	30 kDa		8
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		6
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa		6
Alanyl-tRNA synthetase OS=Dictyostelium discoideum GN=alaS PE=2 SV=1	sp|Q54Y20|SYA_DICDI	106 kDa	TRUE	6
CTP synthase OS=Dictyostelium discoideum GN=ctps PE=3 SV=1	sp|Q54V77|PYRG_DICDI	63 kDa		4
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa		7
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56 kDa		6
Vacuolar protein sorting-associated protein 26 OS=Dictyostelium discoideum GN=vps26 PE=2 SV=1	sp|Q55CA0|VPS26_DICDI	40 kDa		6
Methionine synthase (EC 2.1.1.13) (5-met	sp|P13009|METH_ECOLI	136 kDa		6
COP9 signalosome complex subunit 4 OS=Dictyostelium discoideum GN=csn4 PE=2 SV=1	sp|Q54B82|CSN4_DICDI	45 kDa		3
"2,3,4,5-tetrahydropyridine-2,6-dicarboxy"	sp|P0A9D8|DAPD_ECOLI	30 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218901 PE=4 SV=1	tr|Q54KR6|Q54KR6_DICDI	71 kDa		4
Aspartate aminotransferase (EC 2.6.1.1)	sp|P00509|AAT_ECOLI	44 kDa		6
Glycyl-tRNA synthetase beta chain (EC 6.	sp|P00961|SYGB_ECOLI	77 kDa		7
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa	TRUE	8
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		7
6-phosphofructokinase OS=Dictyostelium discoideum GN=pfkA PE=2 SV=2	sp|P90521|K6PF_DICDI	92 kDa		5
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=4 SV=1	tr|Q55C60|Q55C60_DICDI (+1)	29 kDa	TRUE	8
30S ribosomal protein S2.	sp|P0A7V0|RS2_ECOLI	27 kDa		6
DNA-dependent protein kinase catalytic subunit OS=Dictyostelium discoideum GN=dnapkcs PE=3 SV=2	sp|Q54UC0|PRKDC_DICDI	494 kDa	TRUE	5
Glucose-6-phosphate isomerase (EC 5.3.1.	sp|P0A6T1|G6PI_ECOLI	62 kDa		5
Probable malate dehydrogenase 3 OS=Dictyostelium discoideum GN=mdhC PE=3 SV=1	sp|Q54VM2|MDHC_DICDI	36 kDa	TRUE	7
60S ribosomal protein L27a OS=Dictyostelium discoideum GN=rpl27a PE=3 SV=1	sp|P48160|RL27A_DICDI	16 kDa		8
"Probable 39S ribosomal protein L53, mitochondrial OS=Dictyostelium discoideum GN=mrpl53 PE=3 SV=1"	rsp|Q54D99|RM53_DICDI	?		5
cAMP-binding protein 1 OS=Dictyostelium discoideum GN=capA-1 PE=2 SV=2	sp|P19198|CAP1_DICDI (+1)	35 kDa		7
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289265 PE=4 SV=1	tr|Q54HR9|Q54HR9_DICDI	52 kDa		8
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		8
Proliferation-associated protein A OS=Dictyostelium discoideum GN=prlA PE=2 SV=1	sp|Q1ZXG4|PRLA_DICDI	42 kDa		6
"2,3-bisphosphoglycerate-dependent phosph"	sp|P62707|GPMA_ECOLI	28 kDa		7
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		5
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16 kDa		7
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa		6
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	tr|O96455|O96455_DICDI (+1)	46 kDa		5
Hypothetical protein yrbD precursor.	sp|P64604|YRBD_ECOLI	20 kDa		8
Replicative DNA helicase (EC 3.6.1.-).	sp|P0ACB0|DNAB_ECOLI	52 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	tr|Q55FM2|Q55FM2_DICDI	72 kDa		6
Midasin OS=Dictyostelium discoideum GN=mdn1 PE=3 SV=2	sp|Q869L3|MDN1_DICDI (+1)	679 kDa	TRUE	25
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa	TRUE	6
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218187 PE=4 SV=1	tr|Q54WC4|Q54WC4_DICDI	43 kDa		6
Galactitol-1-phosphate 5-dehydrogenase (	sp|P0A9S3|GATD_ECOLI	37 kDa		7
Dual specificity protein kinase shkA OS=Dictyostelium discoideum GN=shkA PE=2 SV=1	sp|Q54RB7|SHKA_DICDI	59 kDa		4
Rho GTPase-activating protein gacP OS=Dictyostelium discoideum GN=gacP PE=3 SV=1	sp|Q54XE8|GACP_DICDI	66 kDa		5
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290537 PE=3 SV=1	tr|Q54FY1|Q54FY1_DICDI	54 kDa	TRUE	7
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91 kDa		7
"Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1"	sp|Q86AS6|SYHC_DICDI	54 kDa		8
ABC transporter-related protein OS=Dictyostelium discoideum GN=abcF1 PE=4 SV=1	tr|Q8T6B8|Q8T6B8_DICDI	80 kDa		3
Protein phosphatase 4 regulatory subunit 1 OS=Dictyostelium discoideum GN=ppr1 PE=4 SV=2	tr|Q54TV3|Q54TV3_DICDI	82 kDa	TRUE	5
Anaerobic glycerol-3-phosphate dehydroge	sp|P0A9C0|GLPA_ECOLI	59 kDa		4
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa	TRUE	6
Cysteine protease OS=Dictyostelium discoideum GN=DDB_0219654 PE=3 SV=1	tr|Q54F16|Q54F16_DICDI	39 kDa	TRUE	6
Galactitol-specific phosphotransferase e	sp|P69828|PTKA_ECOLI	17 kDa	TRUE	4
50S ribosomal protein L14.	sp|P0ADY3|RL14_ECOLI	14 kDa		3
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1"	sp|Q54KE6|MCCA_DICDI	77 kDa		6
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	sp|Q54QW1|EIF3B_DICDI	78 kDa		5
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30 kDa		7
"Aspartate aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=aatA PE=3 SV=1"	sp|Q55F21|AATM_DICDI	47 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	tr|Q54F09|Q54F09_DICDI	118 kDa		5
Inner membrane protein oxaA.	sp|P25714|OXAA_ECOLI	62 kDa		8
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87 kDa		7
Alpha-galactosidase (EC 3.2.1.22) (Melib	sp|P06720|AGAL_ECOLI	51 kDa		6
"Glutamate-1-semialdehyde 2,1-aminomutase"	sp|P23893|GSA_ECOLI	45 kDa		7
"Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1"	sp|Q54YD4|SYIC_DICDI	123 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217875 PE=4 SV=2	tr|Q550Q8|Q550Q8_DICDI	48 kDa	TRUE	5
Peptidyl-prolyl cis-trans isomerase A OS=Dictyostelium discoideum GN=ppiA PE=1 SV=1	sp|Q54SM3|PPIA_DICDI	19 kDa		4
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa	TRUE	7
Guanine nucleotide-binding protein alpha-7 subunit OS=Dictyostelium discoideum GN=gpaG PE=2 SV=3	sp|P34045|GPA7_DICDI	44 kDa		6
Flavohemoprotein B OS=Dictyostelium discoideum GN=fhbB PE=1 SV=1	sp|Q54D73|FHBB_DICDI	48 kDa	TRUE	5
Glucose-6-phosphate 1-dehydrogenase (EC	sp|P0AC53|G6PD_ECOLI	56 kDa		5
Coatomer subunit beta OS=Dictyostelium discoideum GN=copb PE=2 SV=2	sp|Q23924|COPB_DICDI	103 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34 kDa		6
Actin-related protein 2/3 complex subunit 2 OS=Dictyostelium discoideum GN=arcB PE=1 SV=1	sp|O96623|ARPC2_DICDI	33 kDa		5
Asparaginyl-tRNA synthetase (EC 6.1.1.22	sp|P0A8M0|SYN_ECOLI	52 kDa		5
DNA protection during starvation protein	sp|P0ABT2|DPS_ECOLI	19 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190808 PE=4 SV=1	tr|Q55CD5|Q55CD5_DICDI	107 kDa		5
Serine/threonine-protein phosphatase PP1 OS=Dictyostelium discoideum GN=pppB PE=1 SV=1	sp|O15757|PP1_DICDI	37 kDa		5
26S proteasome non-ATPase regulatory subunit 14 OS=Dictyostelium discoideum GN=psmD14 PE=3 SV=1	sp|Q86IJ1|PSDE_DICDI	34 kDa		7
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2"	sp|Q8T2J9|MCCB_DICDI	64 kDa	TRUE	5
Methenyl tetrahydrofolate cyclohydrolase / NADP-dependent methylene H4F dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283121 PE=3 SV=1	tr|Q54RI8|Q54RI8_DICDI	32 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa		4
Hydrogenase-2 large chain precursor (EC	sp|P0ACE0|MBHM_ECOLI	62 kDa		5
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa		4
Ras-related GTP-binding protein OS=Dictyostelium discoideum GN=ragC PE=4 SV=1	tr|Q54PK6|Q54PK6_DICDI	41 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169491 PE=4 SV=1	tr|Q75JJ3|Q75JJ3_DICDI	184 kDa	TRUE	5
Threonine ammonia-lyase OS=Dictyostelium discoideum GN=DDB_G0277245 PE=4 SV=1	tr|Q86AP7|Q86AP7_DICDI	131 kDa		6
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa		3
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa		5
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		4
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289047 PE=3 SV=1	tr|Q54I27|Q54I27_DICDI	89 kDa	TRUE	11
DNA mismatch repair protein Msh2 OS=Dictyostelium discoideum GN=msh2 PE=3 SV=1	sp|Q553L4|MSH2_DICDI	105 kDa	TRUE	5
Phenylalanyl-tRNA synthetase beta chain	sp|P07395|SYFB_ECOLI	87 kDa		5
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103 kDa		4
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=uap56 PE=4 SV=1	tr|Q55CR6|Q55CR6_DICDI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186139 PE=4 SV=1	tr|Q54PA2|Q54PA2_DICDI	26 kDa		2
Oligopeptidase A (EC 3.4.24.70).	sp|P27298|OPDA_ECOLI	77 kDa		5
"Leucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=leuS PE=3 SV=1"	sp|Q54N83|SYLC_DICDI	120 kDa		3
Glyoxylase B2 OS=Dictyostelium discoideum GN=gloB2 PE=3 SV=1	sp|Q54EJ5|GLOB2_DICDI	33 kDa		3
Bifunctional protein hldE [Includes: D-b	sp|P76658|HLDE_ECOLI	51 kDa		5
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa		4
Phosphoenolpyruvate carboxylase (EC 4.1.	sp|P00864|CAPP_ECOLI	99 kDa	TRUE	3
Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI	139 kDa	TRUE	4
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217648 PE=4 SV=1	tr|Q553Q9|Q553Q9_DICDI	249 kDa	TRUE	4
RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI	43 kDa		5
UvrABC system protein A (UvrA protein) (	sp|P0A698|UVRA_ECOLI	104 kDa		6
Quinoprotein glucose dehydrogenase (EC 1	sp|P15877|DHG_ECOLI	87 kDa		6
Eukaryotic translation initiation factor 3 subunit M OS=Dictyostelium discoideum GN=eif3m PE=1 SV=1	sp|Q54KZ8|EIF3M_DICDI	47 kDa		7
Glycyl-tRNA synthetase OS=Dictyostelium discoideum GN=glyS PE=1 SV=1	tr|Q54PF9|Q54PF9_DICDI	76 kDa		6
Threonyl-tRNA synthetase (EC 6.1.1.3) (T	sp|P0A8M3|SYT_ECOLI	74 kDa		6
Glutamate-ammonia-ligase adenylyltransfe	sp|P30870|GLNE_ECOLI	108 kDa	TRUE	6
Colicin I receptor precursor.	sp|P17315|CIRA_ECOLI	74 kDa		5
Ribosome recycling factor (Ribosome-rele	sp|P0A805|RRF_ECOLI	21 kDa		7
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Dictyostelium discoideum GN=pck2 PE=3 SV=1"	sp|Q869Z4|PCKGM_DICDI	72 kDa		5
Transcription elongation protein nusA (N	sp|P0AFF6|NUSA_ECOLI	55 kDa		4
Ketol-acid reductoisomerase (EC 1.1.1.86	sp|P05793|ILVC_ECOLI	54 kDa		4
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa		5
Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI	40 kDa		6
RNA polymerase sigma factor rpoD (Sigma-	sp|P00579|RPOD_ECOLI	70 kDa		5
Proliferating cell nuclear antigen OS=Dictyostelium discoideum GN=pcna PE=3 SV=1	sp|Q54K47|PCNA_DICDI	28 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI	34 kDa	TRUE	4
NADH-quinone oxidoreductase chain C/D (E	sp|P33599|NUOCD_ECOLI	69 kDa	TRUE	5
Heat shock 70-related protein 5 OS=Dictyostelium discoideum GN=DDB_G0285709 PE=3 SV=1	sp|Q54MR6|HS7C5_DICDI	57 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0286341 PE=4 SV=1	tr|Q54M03|Q54M03_DICDI	38 kDa		5
Osmotically inducible lipoprotein E prec	sp|P0ADB1|OSME_ECOLI	12 kDa		4
60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI	22 kDa	TRUE	4
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa		4
30S ribosomal protein S8.	sp|P0A7W7|RS8_ECOLI	14 kDa		4
PTS system fructose-specific EIIBC compo	sp|P20966|PTFBC_ECOLI	58 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188719 PE=4 SV=1	tr|Q54GL1|Q54GL1_DICDI	175 kDa		4
Ubiquinone biosynthesis protein COQ7 homolog OS=Dictyostelium discoideum GN=coq7 PE=2 SV=1	sp|Q54VB3|COQ7_DICDI	25 kDa		4
rRNA methyltransferase 3 homolog OS=Dictyostelium discoideum GN=fsjC PE=3 SV=1	sp|Q54NX0|RRMJ3_DICDI	96 kDa		3
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa		4
Exportin-7 OS=Dictyostelium discoideum GN=xpo7 PE=3 SV=2	sp|Q54DN3|XPO7_DICDI	117 kDa		5
Probable ATP-dependent RNA helicase ddx6 OS=Dictyostelium discoideum GN=ddx6 PE=3 SV=1	sp|Q54E49|DDX6_DICDI	48 kDa		5
Aspartate ammonia-lyase (EC 4.3.1.1) (As	sp|P0AC38|ASPA_ECOLI	52 kDa	TRUE	3
Single-strand binding protein (SSB) (Hel	sp|P0AGE0|SSB_ECOLI	19 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205702 PE=4 SV=1	tr|Q54X02|Q54X02_DICDI	53 kDa		5
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0271892 PE=4 SV=1	tr|Q869Z5|Q869Z5_DICDI	26 kDa		4
"Homogentisate 1,2-dioxygenase OS=Dictyostelium discoideum GN=hgd PE=2 SV=1"	sp|Q54QI4|HGD_DICDI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204271 PE=3 SV=1	tr|Q54TA6|Q54TA6_DICDI	51 kDa	TRUE	10
Actin-17 OS=Dictyostelium discoideum GN=act17 PE=3 SV=1	sp|Q554S6|ACT17_DICDI	42 kDa	TRUE	101
Rap-GAP domain-containing protein DDB_G0281809 OS=Dictyostelium discoideum GN=DDB_G0281809 PE=4 SV=1	sp|Q54TK4|Y1809_DICDI	181 kDa		5
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	sp|Q54RX9|RAB5B_DICDI	23 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202360 PE=4 SV=1	tr|Q55EJ0|Q55EJ0_DICDI	40 kDa		5
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24 kDa		73
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI	26 kDa		5
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_G0271340 PE=4 SV=1	tr|Q55BH8|Q55BH8_DICDI	73 kDa		3
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22 kDa		5
ATP synthase delta chain (EC 3.6.3.14).	sp|P0ABA4|ATPD_ECOLI	19 kDa		6
26S proteasome non-ATPase regulatory subunit 11 OS=Dictyostelium discoideum GN=psmD11 PE=2 SV=1	sp|Q54UB5|PSD11_DICDI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184335 PE=4 SV=1	tr|Q54DD1|Q54DD1_DICDI	48 kDa		3
ADP-ribosylation factor-like protein 8 OS=Dictyostelium discoideum GN=arl8 PE=3 SV=1	sp|Q54R04|ARL8_DICDI	21 kDa		5
Septum site-determining protein minD (Ce	sp|P0AEZ3|MIND_ECOLI	29 kDa		3
Inosine-5'-monophosphate dehydrogenase (	sp|P0ADG7|IMDH_ECOLI	52 kDa		5
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa		4
26S protease regulatory subunit 6B homolog OS=Dictyostelium discoideum GN=psmC4 PE=1 SV=1	sp|P34123|PRS6B_DICDI	46 kDa	TRUE	6
Hypothetical lipoprotein yfhM precursor.	sp|P76578|YFHM_ECOLI	182 kDa		3
Ribonuclease E (EC 3.1.4.-) (RNase E).	sp|P21513|RNE_ECOLI	118 kDa	TRUE	3
Purine nucleoside phosphorylase deoD-typ	sp|P0ABP8|DEOD_ECOLI	26 kDa		5
"Arginine biosynthesis bifunctional protein argJ, mitochondrial OS=Dictyostelium discoideum GN=argJ PE=3 SV=1"	sp|Q54DY1|ARGJ_DICDI	48 kDa		4
Eukaryotic peptide chain release factor GTP-binding subunit OS=Dictyostelium discoideum GN=erf3 PE=2 SV=1	sp|Q7YZN9|ERF3_DICDI	61 kDa	TRUE	4
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa		3
Signal recognition particle protein (Fif	sp|P0AGD7|SRP54_ECOLI	50 kDa		6
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI	83 kDa		5
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_G0286669 PE=4 SV=2	tr|Q54LF1|Q54LF1_DICDI	75 kDa		4
Target of rapamycin OS=Dictyostelium discoideum GN=tor PE=1 SV=1	sp|Q86C65|TOR_DICDI	269 kDa	TRUE	4
Transcription antitermination protein nu	sp|P0AFG0|NUSG_ECOLI	20 kDa		4
