Identified Proteins (993)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha1
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa		10
General transcriptional corepressor tupA OS=Dictyostelium discoideum GN=tupA PE=2 SV=1	sp|O76734|TUP1_DICDI	65 kDa		11
Phenylalanyl-tRNA synthetase beta chain	sp|P07395|SYFB_ECOLI	87 kDa		11
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167437 PE=4 SV=1	tr|Q86I26|Q86I26_DICDI	16 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216934 PE=4 SV=1	tr|Q869N7|Q869N7_DICDI	36 kDa		12
Cytochrome c OS=Dictyostelium discoideum GN=cytC PE=3 SV=1	sp|Q869N1|CYC_DICDI	13 kDa		11
Probable phosphoserine aminotransferase OS=Dictyostelium discoideum GN=serC PE=3 SV=1	sp|Q55CQ6|SERC_DICDI	42 kDa		8
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI	35 kDa		12
Putative uncharacterized protein sec24l OS=Dictyostelium discoideum GN=sec24l PE=4 SV=2	tr|Q54Z72|Q54Z72_DICDI	128 kDa		11
Uroporphyrinogen decarboxylase OS=Dictyostelium discoideum GN=hemE PE=1 SV=1	sp|Q54DF9|DCUP_DICDI	41 kDa		8
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa		10
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	tr|Q54B43|Q54B43_DICDI	97 kDa		8
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23 kDa		8
40S ribosomal protein S15 OS=Dictyostelium discoideum GN=rps15 PE=3 SV=1	sp|Q54N17|RS15_DICDI	16 kDa		9
Endoplasmin homolog OS=Dictyostelium discoideum GN=grp94 PE=2 SV=2	sp|Q9NKX1|ENPL_DICDI	87 kDa	TRUE	20
Nascent polypeptide-associated complex subunit beta OS=Dictyostelium discoideum GN=nacB PE=3 SV=1	sp|Q54TR8|NACB_DICDI	15 kDa		9
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI	26 kDa		10
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=uap56 PE=4 SV=1	tr|Q55CR6|Q55CR6_DICDI	48 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218384 PE=4 SV=1	tr|Q54SF2|Q54SF2_DICDI	40 kDa		11
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_G0293770 PE=3 SV=1	tr|B0G199|B0G199_DICDI (+1)	116 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268600 PE=1 SV=2	tr|Q55F82|Q55F82_DICDI	19 kDa		10
Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI	22 kDa		7
Vegetative stage specific V4-7 (Fragment) OS=Dictyostelium discoideum PE=2 SV=1	tr|Q23857|Q23857_DICDI (+1)	60 kDa		11
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		8
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188878 PE=3 SV=1	tr|Q54G44|Q54G44_DICDI	126 kDa		10
"Cysteinyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=cysS PE=3 SV=1"	sp|Q54KR1|SYCC_DICDI	75 kDa		9
Probable ATP-dependent RNA helicase ddx6 OS=Dictyostelium discoideum GN=ddx6 PE=3 SV=1	sp|Q54E49|DDX6_DICDI	48 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205795 PE=4 SV=1	tr|Q54WR3|Q54WR3_DICDI	155 kDa		5
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		10
Inositol-3-phosphate synthase OS=Dictyostelium discoideum GN=ino1 PE=3 SV=1	sp|Q54N49|INO1_DICDI	57 kDa		11
Pyruvate kinase I (EC 2.7.1.40) (PK-1).	sp|P0AD61|KPYK1_ECOLI	51 kDa		8
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		10
Protein ais.	sp|P45565|AIS_ECOLI	22 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191909 PE=4 SV=1	tr|Q54BW3|Q54BW3_DICDI	48 kDa	TRUE	10
Putative uncharacterized protein gmfA OS=Dictyostelium discoideum GN=gmfA PE=4 SV=1	tr|Q54S93|Q54S93_DICDI	16 kDa		9
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa	TRUE	10
50S ribosomal protein L14.	sp|P0ADY3|RL14_ECOLI	14 kDa		6
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0282095 PE=4 SV=1	tr|C7G020|C7G020_DICDI	103 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168187 PE=4 SV=1	tr|Q557H6|Q557H6_DICDI	26 kDa		9
Probable thymidylate synthase thy1 OS=Dictyostelium discoideum GN=thyA PE=3 SV=2	sp|P15808|THY1_DICDI	35 kDa		4
Isoleucyl-tRNA synthetase (EC 6.1.1.5) (	sp|P00956|SYI_ECOLI	104 kDa		8
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		8
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30 kDa		11
Citrate lyase subunit beta-like protein OS=Dictyostelium discoideum GN=clybl PE=4 SV=1	tr|Q54Q74|Q54Q74_DICDI	41 kDa		7
60S ribosomal protein L30 OS=Dictyostelium discoideum GN=rpl30 PE=3 SV=1	sp|Q55BS9|RL30_DICDI	12 kDa		10
Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI	51 kDa		11
40S ribosomal protein S25 OS=Dictyostelium discoideum GN=rps25 PE=3 SV=1	sp|Q03409|RS25_DICDI	12 kDa		11
Methylenetetrahydrofolate dehydrogenase [NAD+] OS=Dictyostelium discoideum GN=thfA PE=3 SV=1	sp|Q86KU6|MTD1_DICDI	35 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189206 PE=4 SV=1	tr|Q54F90|Q54F90_DICDI	96 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa		8
Uricase OS=Dictyostelium discoideum GN=uox PE=3 SV=1	sp|Q54LT2|URIC_DICDI	33 kDa		6
Preprotein translocase secA subunit.	sp|P10408|SECA_ECOLI	102 kDa		8
C2 calcium/lipid-binding region-containing protein OS=Dictyostelium discoideum GN=DDB_0202870 PE=1 SV=1	tr|Q55BH2|Q55BH2_DICDI	172 kDa		6
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		11
UTP--glucose-1-phosphate uridylyltransferase 2 OS=Dictyostelium discoideum GN=ugpB PE=2 SV=1	sp|Q54YZ0|UGPA2_DICDI	56 kDa		9
Superoxide dismutase [Fe] (EC 1.15.1.1).	sp|P0AGD3|SODF_ECOLI	21 kDa		6
Lipoprotein nlpD precursor.	sp|P0ADA3|NLPD_ECOLI	40 kDa		9
Uncharacterized protein DDB_G0279527 OS=Dictyostelium discoideum GN=DDB_G0279527 PE=1 SV=1	sp|Q54WN8|Y7952_DICDI	144 kDa		8
ATP synthase alpha chain (EC 3.6.3.14).	sp|P0ABB0|ATPA_ECOLI	55 kDa		6
Protovillin OS=Dictyostelium discoideum GN=vilB PE=1 SV=1	sp|P36418|VILB_DICDI	109 kDa		5
60S ribosomal protein L35a OS=Dictyostelium discoideum GN=rpl35a PE=3 SV=1	sp|Q55BN7|RL35A_DICDI	12 kDa		9
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa		8
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	sp|Q54DD0|AMPD_DICDI	91 kDa	TRUE	8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189735 PE=4 SV=1	tr|Q55FM3|Q55FM3_DICDI	22 kDa		7
NEDD8-activating enzyme E1 catalytic subunit OS=Dictyostelium discoideum GN=uba3 PE=3 SV=1	sp|Q54QG9|UBA3_DICDI	49 kDa		9
Ras-related protein RabG2 OS=Dictyostelium discoideum GN=rabG2 PE=3 SV=2	sp|Q54FL2|RABG2_DICDI	22 kDa	TRUE	21
30S ribosomal protein S12.	sp|P0A7S3|RS12_ECOLI	14 kDa		9
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=4 SV=1	tr|Q55C60|Q55C60_DICDI (+1)	29 kDa	TRUE	10
50S ribosomal protein L2.	sp|P60422|RL2_ECOLI	30 kDa	TRUE	6
Rho-related protein racC OS=Dictyostelium discoideum GN=racC PE=1 SV=1	sp|P34149|RACC_DICDI	22 kDa		9
FK506-binding protein 1 OS=Dictyostelium discoideum GN=fkbp1 PE=3 SV=1	sp|Q554J3|FKBP1_DICDI	11 kDa		9
Probable 2-hydroxyacyl-CoA lyase 1 OS=Dictyostelium discoideum GN=hacl1 PE=3 SV=1	sp|Q54DA9|HACL1_DICDI	63 kDa	TRUE	8
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa		10
Outer membrane protein assembly factor y	sp|P0A940|YAET_ECOLI	91 kDa		8
Glutathione synthetase OS=Dictyostelium discoideum GN=gshB PE=3 SV=1	sp|Q54E83|GSHB_DICDI	54 kDa		8
Protein transport protein SEC24 OS=Dictyostelium discoideum GN=sec24 PE=3 SV=1	sp|Q54U61|SEC24_DICDI	115 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190067 PE=4 SV=1	tr|Q55EM4|Q55EM4_DICDI	16 kDa	TRUE	10
6-phosphofructokinase OS=Dictyostelium discoideum GN=pfkA PE=2 SV=2	sp|P90521|K6PF_DICDI	92 kDa		7
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	sp|Q23892|GLUA_DICDI	89 kDa		9
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289265 PE=4 SV=1	tr|Q54HR9|Q54HR9_DICDI	52 kDa		7
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		9
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16 kDa		6
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa	TRUE	9
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	sp|Q54HL0|COPG_DICDI	102 kDa	TRUE	9
40S ribosomal protein S26 OS=Dictyostelium discoideum GN=rps26 PE=3 SV=1	sp|Q54TL8|RS26_DICDI	13 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217534 PE=1 SV=1	tr|Q555G2|Q555G2_DICDI	108 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167972 PE=4 SV=1	tr|Q556I6|Q556I6_DICDI	61 kDa		8
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa		6
30S ribosomal protein S9.	sp|P0A7X3|RS9_ECOLI	15 kDa	TRUE	9
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa	TRUE	7
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	sp|Q54XC1|5NTC_DICDI	68 kDa		6
Probable glutaminyl-tRNA synthetase OS=Dictyostelium discoideum GN=glnS PE=2 SV=2	sp|P14325|SYQ_DICDI	88 kDa	TRUE	4
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	tr|Q54FY3|Q54FY3_DICDI	54 kDa	TRUE	17
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	10
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22 kDa		7
WASH complex subunit strumpellin homolog OS=Dictyostelium discoideum GN=DDB_G0288569 PE=1 SV=1	sp|Q54IR8|STRUM_DICDI	135 kDa	TRUE	8
Glycylpeptide N-tetradecanoyltransferase OS=Dictyostelium discoideum GN=nmt PE=3 SV=2	sp|Q553B6|NMT_DICDI	48 kDa		9
Rho-related protein racB OS=Dictyostelium discoideum GN=racB PE=1 SV=1	sp|P34148|RACB_DICDI	22 kDa	TRUE	8
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa		7
"Superoxide dismutase [Mn], mitochondrial OS=Dictyostelium discoideum GN=sod2 PE=3 SV=1"	sp|Q55BJ9|SODM_DICDI	25 kDa		10
Neutral ceramidase A OS=Dictyostelium discoideum GN=dcd2A PE=1 SV=1	sp|Q54BK2|NCSEA_DICDI	78 kDa		9
30S ribosomal protein S20.	sp|P0A7U7|RS20_ECOLI	10 kDa		8
30S ribosomal protein S19.	sp|P0A7U3|RS19_ECOLI	10 kDa		9
Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI	33 kDa		10
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa		8
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Dictyostelium discoideum GN=qprt PE=3 SV=1	sp|Q75JX0|NADC_DICDI	33 kDa		9
50S ribosomal protein L20.	sp|P0A7L3|RL20_ECOLI	13 kDa	TRUE	10
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		8
Diphosphomevalonate decarboxylase OS=Dictyostelium discoideum GN=mvd PE=3 SV=1	sp|Q54YQ9|ERG19_DICDI	43 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183846 PE=4 SV=1	tr|Q54ES4|Q54ES4_DICDI	21 kDa		7
Glutathione reductase OS=Dictyostelium discoideum GN=gsr PE=3 SV=2	sp|Q8T137|GSHR_DICDI	50 kDa		9
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	tr|Q86J04|Q86J04_DICDI	64 kDa		7
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188365 PE=4 SV=1	tr|Q54HN9|Q54HN9_DICDI	68 kDa	TRUE	7
"Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1"	tr|Q54JV0|Q54JV0_DICDI	183 kDa		5
Eukaryotic translation initiation factor 3 subunit M OS=Dictyostelium discoideum GN=eif3m PE=1 SV=1	sp|Q54KZ8|EIF3M_DICDI	47 kDa		8
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa	TRUE	8
Protein P80 OS=Dictyostelium discoideum GN=p80 PE=2 SV=1	sp|Q7YXD4|P80_DICDI	58 kDa		9
Inorganic pyrophosphatase OS=Dictyostelium discoideum GN=ppa1 PE=1 SV=1	sp|Q54PV8|IPYR_DICDI	31 kDa	TRUE	9
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa		6
Probable ornithine decarboxylase OS=Dictyostelium discoideum GN=odc PE=3 SV=1	sp|Q54UF3|DCOR_DICDI	52 kDa		6
F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI	31 kDa		5
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		9
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa		8
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0289141 PE=4 SV=2	tr|Q54HY5|Q54HY5_DICDI	197 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184511 PE=4 SV=1	tr|Q54CW1|Q54CW1_DICDI	19 kDa		6
Calcium-binding protein M OS=Dictyostelium discoideum GN=cbpM PE=1 SV=1	sp|Q54LX0|CBPM_DICDI	21 kDa		5
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		6
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	sp|Q54J34|PUR8_DICDI	53 kDa		7
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa		6
60S ribosomal protein L37 OS=Dictyostelium discoideum GN=rpl37 PE=3 SV=1	sp|Q54MG6|RL37_DICDI	10 kDa		6
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		8
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	36
"Probable isoleucyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=mileS PE=3 SV=1"	sp|Q54CE4|SYIM_DICDI	118 kDa	TRUE	8
Phenylalanyl-tRNA synthetase alpha chain OS=Dictyostelium discoideum GN=pheSA PE=3 SV=1	sp|Q54KS8|SYFA_DICDI	56 kDa		8
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27 kDa		5
Endothelial monocyte-activating polypeptide II pro-EMAP II family protein OS=Dictyostelium discoideum GN=DDB_G0291926 PE=4 SV=1	tr|Q54DX3|Q54DX3_DICDI	41 kDa		5
Xaa-Pro aminopeptidase 1 OS=Dictyostelium discoideum GN=xpnpep1 PE=3 SV=1	sp|Q54G06|XPP1_DICDI	71 kDa		7
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa		5
Proteasome activator complex subunit 4 OS=Dictyostelium discoideum GN=psmE4 PE=4 SV=1	tr|Q54DB2|Q54DB2_DICDI	221 kDa		6
Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	sp|Q54JP5|OAT_DICDI	46 kDa		7
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa	TRUE	6
Integrin beta-like protein A OS=Dictyostelium discoideum GN=sibA PE=1 SV=2	sp|Q54KF7|SIBA_DICDI	208 kDa	TRUE	5
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167407 PE=4 SV=1	tr|Q86I47|Q86I47_DICDI	34 kDa		8
Polyadenylate-binding protein 1-A OS=Dictyostelium discoideum GN=pabpc1A PE=1 SV=1	sp|Q54BM2|PAP1A_DICDI	63 kDa		8
Cysteine proteinase 5 OS=Dictyostelium discoideum GN=cprE PE=2 SV=2	sp|P54640|CYSP5_DICDI	37 kDa		8
Eukaryotic translation initiation factor 3 subunit A OS=Dictyostelium discoideum GN=eif3a PE=1 SV=1	sp|Q86B20|EIF3A_DICDI	120 kDa	TRUE	6
"Probable glutamyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=gluS PE=2 SV=1"	sp|Q54KB8|SYEC_DICDI	86 kDa		7
Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI	89 kDa	TRUE	5
NLP/P60 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0191902 PE=4 SV=1	tr|Q54BX0|Q54BX0_DICDI	18 kDa		6
Ferritin-1 (EC 1.16.3.1).	sp|P0A998|FTNA_ECOLI	19 kDa		8
V-type proton ATPase subunit E OS=Dictyostelium discoideum GN=vatE PE=1 SV=1	sp|O00780|VATE_DICDI	27 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI	129 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216102 PE=4 SV=1	tr|Q54HI5|Q54HI5_DICDI	81 kDa		7
"Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1"	sp|Q54SE2|PRDXL_DICDI	27 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34 kDa		5
26S protease regulatory subunit 7 OS=Dictyostelium discoideum GN=psmC2 PE=1 SV=1	sp|Q86JA1|PRS7_DICDI	47 kDa		4
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa		4
UPF0652 protein OS=Dictyostelium discoideum GN=DDB_G0293552 PE=3 SV=1	sp|Q54BM8|U652_DICDI	78 kDa		5
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa		7
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		6
Villin headpiece domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0279449 PE=4 SV=1	tr|Q54WT5|Q54WT5_DICDI	121 kDa		6
Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1	sp|Q54SV3|ALN1_DICDI	72 kDa		6
Aldehyde dehydrogenase family 3 comG OS=Dictyostelium discoideum GN=comG PE=3 SV=1	sp|Q54DG1|ALDH3_DICDI	53 kDa	TRUE	6
Coatomer subunit alpha OS=Dictyostelium discoideum GN=copa PE=3 SV=1	sp|Q55FR9|COPA_DICDI	139 kDa		7
MaoC-like dehydratase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0294627 PE=4 SV=1	tr|B0G197|B0G197_DICDI	23 kDa		6
Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3	sp|P02599|CALM_DICDI	17 kDa		5
50S ribosomal protein L28.	sp|P0A7M2|RL28_ECOLI	9 kDa		6
Hydroxyacylglutathione hydrolase OS=Dictyostelium discoideum GN=hagh PE=3 SV=1	sp|Q54MR1|GLO2_DICDI	30 kDa		7
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		6
N-terminal delta endotoxin domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277083 PE=4 SV=1	tr|C7G000|C7G000_DICDI	56 kDa		6
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa		4
Sulfite reductase [NADPH] hemoprotein be	sp|P17846|CYSI_ECOLI	64 kDa		7
DNA-directed RNA polymerase II subunit rpb1 OS=Dictyostelium discoideum GN=polr2a PE=2 SV=2	sp|P35084|RPB1_DICDI	193 kDa		3
Glutaredoxin OS=Dictyostelium discoideum GN=grxA PE=2 SV=1	sp|Q54GP8|GLRX_DICDI	11 kDa	TRUE	6
30S ribosomal protein S16.	sp|P0A7T3|RS16_ECOLI	9 kDa		7
Probable ubiquitin-conjugating enzyme E2 variant OS=Dictyostelium discoideum GN=ube2v PE=3 SV=1	sp|Q54D06|UBE2V_DICDI	15 kDa		6
Coproporphyrinogen-III oxidase OS=Dictyostelium discoideum GN=cpox PE=3 SV=1	sp|Q54IA7|HEM6_DICDI	38 kDa		6
Probable cytidine deaminase OS=Dictyostelium discoideum GN=cda PE=3 SV=1	sp|Q54I82|CDD_DICDI	16 kDa		7
Pterin-4-alpha-carbinolamine dehydratase OS=Dictyostelium discoideum GN=pcbd PE=3 SV=1	sp|Q54RY8|PHS_DICDI	12 kDa	TRUE	8
Thioredoxin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215296 PE=4 SV=1	tr|Q54XE7|Q54XE7_DICDI	10 kDa		5
50S ribosomal protein L32.	sp|P0A7N4|RL32_ECOLI	6 kDa		7
Lipoprotein yfgL precursor.	sp|P77774|YFGL_ECOLI	42 kDa		7
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		4
