Identified Proteins (1228)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	tr|Q54I73|Q54I73_DICDI	172 kDa		2
AP-2 complex subunit alpha-2 OS=Dictyostelium discoideum GN=ap2a1-1 PE=3 SV=1	sp|Q86KI1|AP2A2_DICDI	111 kDa		15
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	sp|Q54XC1|5NTC_DICDI	68 kDa		7
Oxysterol-binding protein 8 OS=Dictyostelium discoideum GN=osbH PE=1 SV=1	sp|Q54QP6|OSB8_DICDI	46 kDa		20
Probable ATP-dependent RNA helicase ddx6 OS=Dictyostelium discoideum GN=ddx6 PE=3 SV=1	sp|Q54E49|DDX6_DICDI	48 kDa	TRUE	4
Proteasome subunit beta type-5 OS=Dictyostelium discoideum GN=psmB5 PE=1 SV=1	sp|Q54BC8|PSB5_DICDI	30 kDa		17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169413 PE=4 SV=1	tr|Q7KWR1|Q7KWR1_DICDI	41 kDa		13
Translocase of outer mitochondrial membrane OS=Dictyostelium discoideum GN=tom40 PE=4 SV=1	tr|Q76P15|Q76P15_DICDI	36 kDa		9
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa	TRUE	11
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Dictyostelium discoideum GN=ndufa9 PE=3 SV=1"	sp|Q559Z0|NDUA9_DICDI	40 kDa		9
Prespore-specific protein OS=Dictyostelium discoideum GN=3B PE=4 SV=1	tr|Q9BI24|Q9BI24_DICDI	24 kDa		21
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa		16
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		21
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		18
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa		7
Putative uncharacterized protein cnxA OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	tr|Q55BA8|Q55BA8_DICDI	61 kDa		13
Glycoprotein 130 OS=Dictyostelium discoideum GN=gp130 PE=1 SV=1	tr|Q95US4|Q95US4_DICDI	85 kDa	TRUE	19
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa		16
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	sp|Q86IV4|Y4775_DICDI	51 kDa		10
Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI	114 kDa	TRUE	0
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=1 SV=1	sp|Q54K67|MANG_DICDI	124 kDa	TRUE	8
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa		4
60S ribosomal protein L15 OS=Dictyostelium discoideum GN=rpl15-1 PE=1 SV=1	sp|Q86K01|RL15_DICDI	24 kDa		8
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20 kDa		16
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217007 PE=4 SV=1	tr|Q75JT6|Q75JT6_DICDI	36 kDa		15
"Adenylate kinase 2, mitochondrial OS=Dictyostelium discoideum GN=adkA PE=3 SV=1"	sp|Q54QJ9|KAD2_DICDI	31 kDa		9
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial OS=Dictyostelium discoideum GN=odhA PE=3 SV=1"	sp|Q54VG0|DHTK1_DICDI	102 kDa	TRUE	5
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa		17
"Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1"	sp|Q54X95|SYMC_DICDI	83 kDa		8
Methionine aminopeptidase 2 OS=Dictyostelium discoideum GN=metap2 PE=3 SV=3	sp|Q55C21|AMPM2_DICDI	49 kDa		17
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa		0
Probable polyketide synthase 45 OS=Dictyostelium discoideum GN=pks45 PE=3 SV=1	sp|Q54B49|PKS45_DICDI	350 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	tr|Q54B43|Q54B43_DICDI	97 kDa	TRUE	12
Probable plasma membrane ATPase OS=Dictyostelium discoideum GN=patB PE=2 SV=2	sp|P54679|PMA1_DICDI	117 kDa		20
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=wdr23 PE=4 SV=1	tr|Q54E28|Q54E28_DICDI	77 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205217 PE=4 SV=1	tr|Q54VB8|Q54VB8_DICDI	33 kDa		18
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		13
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22 kDa		14
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205381 PE=4 SV=1	tr|Q54YA6|Q54YA6_DICDI	72 kDa		20
Uncharacterized protein DDB_G0288155 OS=Dictyostelium discoideum GN=DDB_G0288155 PE=1 SV=1	sp|Q54JC2|Y2881_DICDI	27 kDa		20
Xaa-Pro aminopeptidase 1 OS=Dictyostelium discoideum GN=xpnpep1 PE=3 SV=1	sp|Q54G06|XPP1_DICDI	71 kDa		16
Proteasome subunit beta type-1 OS=Dictyostelium discoideum GN=psmB1 PE=3 SV=1	sp|Q86A21|PSB1_DICDI	26 kDa		25
Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI	43 kDa	TRUE	8
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa	TRUE	0
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI (+1)	18 kDa		9
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa		8
Cytochrome c oxidase subunit 1+2 OS=Dictyostelium discoideum GN=cox1/2 PE=2 SV=1	sp|O21042|COX1_DICDI	86 kDa	TRUE	8
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		0
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa		12
Phospholipase B-like protein A OS=Dictyostelium discoideum GN=plbA PE=1 SV=1	sp|Q550U9|PLBLA_DICDI	65 kDa		22
Probable E3 ubiquitin-protein ligase DDB_G0283893 OS=Dictyostelium discoideum GN=DDB_G0283893 PE=3 SV=2	sp|Q54QG5|Y3893_DICDI	658 kDa	TRUE	2
"N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1"	tr|Q54C34|Q54C34_DICDI	108 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204740 PE=4 SV=1	tr|Q54UV0|Q54UV0_DICDI	147 kDa	TRUE	0
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0295683 PE=4 SV=1	tr|B0G198|B0G198_DICDI	187 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI	34 kDa	TRUE	11
60S ribosomal protein L18a OS=Dictyostelium discoideum GN=rpl18a PE=3 SV=2	sp|Q54MK8|RL18A_DICDI	20 kDa		5
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	sp|Q23892|GLUA_DICDI	89 kDa	TRUE	13
Phosphatidylinositol transfer protein 1 OS=Dictyostelium discoideum GN=pitA PE=1 SV=1	sp|Q9NCL8|PITP1_DICDI	31 kDa		3
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa		12
Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI	50 kDa	TRUE	8
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0191760 PE=4 SV=1	tr|Q54CB5|Q54CB5_DICDI	274 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186613 PE=4 SV=1	tr|Q54MX6|Q54MX6_DICDI	27 kDa		16
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa		2
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		11
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169464 PE=4 SV=1	tr|Q75JL8|Q75JL8_DICDI	70 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI	129 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189497 PE=4 SV=1	tr|Q55GC4|Q55GC4_DICDI	20 kDa	TRUE	21
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhB PE=3 SV=1"	sp|Q55CC2|DHSB_DICDI	32 kDa		5
NADH-cytochrome b5 reductase 1 OS=Dictyostelium discoideum GN=cyb5r1 PE=3 SV=1	sp|Q54NC1|NCB5R_DICDI	32 kDa		16
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37 kDa		10
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa		13
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa		5
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	tr|Q54F09|Q54F09_DICDI	118 kDa	TRUE	0
Putative uncharacterized protein dnajc13 OS=Dictyostelium discoideum GN=dnajc13 PE=4 SV=1	tr|Q54LZ3|Q54LZ3_DICDI	292 kDa	TRUE	0
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	sp|Q54HL0|COPG_DICDI	102 kDa	TRUE	7
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa	TRUE	16
Group IV decarboxylase OS=Dictyostelium discoideum GN=ddcB PE=1 SV=1	tr|Q75JL7|Q75JL7_DICDI	48 kDa		8
Putative uncharacterized protein gaa OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	tr|Q55D50|Q55D50_DICDI	96 kDa		12
Tubulin alpha chain OS=Dictyostelium discoideum GN=tubA PE=1 SV=1	sp|P32255|TBA_DICDI	51 kDa	TRUE	0
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI	42 kDa	TRUE	0
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	tr|Q86J04|Q86J04_DICDI	64 kDa		16
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289265 PE=4 SV=1	tr|Q54HR9|Q54HR9_DICDI	52 kDa		12
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		12
Probable short/branched chain specific acyl-CoA dehydrogenase OS=Dictyostelium discoideum GN=acadsb PE=3 SV=1	sp|Q54RR5|ACDSB_DICDI	45 kDa		13
Xanthine dehydrogenase OS=Dictyostelium discoideum GN=xdh PE=3 SV=1	sp|Q54FB7|XDH_DICDI	150 kDa		9
Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI	22 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168714 PE=4 SV=1	tr|Q86IL9|Q86IL9_DICDI	31 kDa	TRUE	8
Nucleoporin 210 OS=Dictyostelium discoideum GN=nup210 PE=4 SV=1	tr|Q54IS9|Q54IS9_DICDI	213 kDa		10
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa	TRUE	7
Ras-related protein Rab-1D OS=Dictyostelium discoideum GN=rab1D PE=1 SV=1	sp|Q54NU2|RAB1D_DICDI	23 kDa	TRUE	15
Mitochondrial substrate carrier family protein Z OS=Dictyostelium discoideum GN=mcfZ PE=2 SV=1	sp|Q54B67|MCFZ_DICDI	33 kDa		5
"Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1"	sp|Q54YD4|SYIC_DICDI	123 kDa		0
Crystal protein OS=Dictyostelium discoideum GN=cryS PE=1 SV=1	sp|P21837|CRYS_DICDI	61 kDa	TRUE	8
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	sp|Q54EW1|GLYC2_DICDI	54 kDa	TRUE	7
"Cysteinyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=cysS PE=3 SV=1"	sp|Q54KR1|SYCC_DICDI	75 kDa	TRUE	0
Dihydropyrimidinase OS=Dictyostelium discoideum GN=pyd2 PE=1 SV=1	sp|Q55DL0|DPYS_DICDI	56 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91 kDa		3
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		18
Vegetative-specific protein H5 OS=Dictyostelium discoideum GN=cinB PE=2 SV=2	sp|P14326|VSH5_DICDI (+2)	39 kDa	TRUE	0
40S ribosomal protein S8 OS=Dictyostelium discoideum GN=rps8 PE=1 SV=1	sp|Q54E24|RS8_DICDI	24 kDa		12
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		18
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa		0
Dihydropteridine reductase OS=Dictyostelium discoideum GN=qdpr PE=1 SV=1	sp|Q86A17|DHPR_DICDI	25 kDa		12
Proteasome subunit beta type-2 OS=Dictyostelium discoideum GN=psmB2 PE=3 SV=1	sp|Q55DY7|PSB2_DICDI	22 kDa		17
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa		9
Esterase/lipase/thioesterase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0283915 PE=4 SV=1	tr|Q54QE7|Q54QE7_DICDI	26 kDa		14
Carbonic anhydrase OS=Dictyostelium discoideum GN=cahA PE=3 SV=1	tr|Q55BU2|Q55BU2_DICDI (+1)	31 kDa		4
Proteasome subunit alpha type-1 OS=Dictyostelium discoideum GN=psmA1 PE=3 SV=1	sp|Q27562|PSA1_DICDI	28 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218308 PE=4 SV=1	tr|Q54TY9|Q54TY9_DICDI	41 kDa		16
Drebrin-like protein OS=Dictyostelium discoideum GN=abpE-1 PE=2 SV=1	sp|Q557J6|DBNL_DICDI	55 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218292 PE=4 SV=1	tr|Q54U95|Q54U95_DICDI	58 kDa	TRUE	5
Profilin-2 OS=Dictyostelium discoideum GN=proB PE=1 SV=1	sp|P26200|PROF2_DICDI	13 kDa		0
Leucine-rich repeat protein lrrA OS=Dictyostelium discoideum GN=lrrA PE=1 SV=1	sp|Q54AX5|LRRA_DICDI	57 kDa	TRUE	6
Coatomer subunit alpha OS=Dictyostelium discoideum GN=copa PE=3 SV=1	sp|Q55FR9|COPA_DICDI	139 kDa	TRUE	6
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191714 PE=4 SV=1	tr|Q54CF7|Q54CF7_DICDI	55 kDa		11
Ubiquinol-cytochrome c reductase iron-sulfur subunit (Fragment) OS=Dictyostelium discoideum GN=ucr PE=3 SV=2	tr|Q54NW9|Q54NW9_DICDI	23 kDa		9
Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1	sp|Q54TR1|CFAD_DICDI	59 kDa		15
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		0
"HAD superfamily hydrolase-like, type 3 OS=Dictyostelium discoideum GN=DDB_0169374 PE=4 SV=1"	tr|Q86KT5|Q86KT5_DICDI	33 kDa		15
NEDD8-activating enzyme E1 regulatory subunit OS=Dictyostelium discoideum GN=nae1 PE=3 SV=1	sp|Q54JM3|ULA1_DICDI	59 kDa	TRUE	8
Lysosome membrane protein 2-B OS=Dictyostelium discoideum GN=lmpB PE=1 SV=1	sp|Q9BKJ9|LMPB_DICDI	83 kDa	TRUE	14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218384 PE=4 SV=1	tr|Q54SF2|Q54SF2_DICDI	40 kDa		5
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0188965 PE=4 SV=1	tr|Q54FV6|Q54FV6_DICDI	53 kDa		0
Eukaryotic translation initiation factor 3 subunit C OS=Dictyostelium discoideum GN=eif3c PE=3 SV=1	sp|Q54X97|EIF3C_DICDI	107 kDa		8
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa		2
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53 kDa		3
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281151 PE=4 SV=1	tr|Q54UD1|Q54UD1_DICDI	87 kDa	TRUE	7
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit homolog OS=Dictyostelium discoideum GN=ddost PE=3 SV=1	sp|Q54E62|OST48_DICDI	48 kDa	TRUE	13
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa	TRUE	0
Alcohol dehydrogenase class-3 OS=Dictyostelium discoideum GN=adh5 PE=3 SV=1	sp|Q54TC2|ADHX_DICDI	41 kDa		11
"Glutaryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gcdh PE=3 SV=1"	sp|Q54R47|GCDH_DICDI	46 kDa		9
Coproporphyrinogen-III oxidase OS=Dictyostelium discoideum GN=cpox PE=3 SV=1	sp|Q54IA7|HEM6_DICDI	38 kDa		5
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		10
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		14
Probable transcription-associated protein 1 OS=Dictyostelium discoideum GN=tra1 PE=3 SV=2	rsp|Q54T85|TRA1_DICDI	515 kDa	TRUE	0
Putative uncharacterized protein sec24l OS=Dictyostelium discoideum GN=sec24l PE=4 SV=2	tr|Q54Z72|Q54Z72_DICDI	128 kDa		4
NADH-ubiquinone oxidoreductase 49 kDa subunit OS=Dictyostelium discoideum GN=nad7 PE=1 SV=1	sp|Q23883|NDUS2_DICDI	47 kDa		9
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Dictyostelium discoideum GN=qprt PE=3 SV=1	sp|Q75JX0|NADC_DICDI	33 kDa		3
Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	sp|Q55AW9|SAC1_DICDI	67 kDa		12
"Superoxide dismutase [Mn], mitochondrial OS=Dictyostelium discoideum GN=sod2 PE=3 SV=1"	sp|Q55BJ9|SODM_DICDI	25 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169400 PE=4 SV=1	tr|Q86KR5|Q86KR5_DICDI	14 kDa	TRUE	16
Penta-EF hand domain-containing protein 1 OS=Dictyostelium discoideum GN=pefA PE=1 SV=1	sp|Q95YL5|PEFA_DICDI	22 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281967 PE=4 SV=1	tr|Q54T73|Q54T73_DICDI	78 kDa		9
26S proteasome non-ATPase regulatory subunit 12 OS=Dictyostelium discoideum GN=psmD12 PE=2 SV=1	sp|Q54UJ0|PSD12_DICDI	52 kDa		10
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa		9
Putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0278295 OS=Dictyostelium discoideum GN=DDB_G0278295 PE=2 SV=1	sp|Q54YD2|Y8295_DICDI	15 kDa		13
GDP-L-fucose synthetase OS=Dictyostelium discoideum GN=ger PE=3 SV=1	sp|Q55C77|FCL_DICDI	36 kDa	TRUE	7
Endothelial monocyte-activating polypeptide II pro-EMAP II family protein OS=Dictyostelium discoideum GN=DDB_G0291926 PE=4 SV=1	tr|Q54DX3|Q54DX3_DICDI	41 kDa		6
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284167 PE=4 SV=1	tr|Q54Q30|Q54Q30_DICDI	32 kDa	TRUE	0
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa	TRUE	9
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa		14
5'-3' exoribonuclease OS=Dictyostelium discoideum GN=xrn2 PE=4 SV=1	tr|Q55CS4|Q55CS4_DICDI	137 kDa		2
Myosin ID heavy chain OS=Dictyostelium discoideum GN=myoD PE=1 SV=2	sp|P34109|MYOD_DICDI	124 kDa	TRUE	2
5-oxoprolinase OS=Dictyostelium discoideum GN=oplah PE=3 SV=2	sp|Q54NW6|OPLA_DICDI	139 kDa		0
Eukaryotic translation initiation factor 3 subunit A OS=Dictyostelium discoideum GN=eif3a PE=1 SV=1	sp|Q86B20|EIF3A_DICDI	120 kDa	TRUE	0
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0279613 PE=3 SV=1	tr|Q54WJ9|Q54WJ9_DICDI	65 kDa		4
Ras-related protein Rab-1B OS=Dictyostelium discoideum GN=rab1B PE=2 SV=2	sp|P34140|RAB1B_DICDI	23 kDa	TRUE	19
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190808 PE=4 SV=1	tr|Q55CD5|Q55CD5_DICDI	107 kDa		6
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Dictyostelium discoideum GN=ost1 PE=2 SV=1	sp|Q54C27|OST1_DICDI	52 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0275039 PE=4 SV=1	tr|Q86I62|Q86I62_DICDI	80 kDa		14
"Homogentisate 1,2-dioxygenase OS=Dictyostelium discoideum GN=hgd PE=2 SV=1"	sp|Q54QI4|HGD_DICDI	48 kDa		7
Integrin beta-like protein A OS=Dictyostelium discoideum GN=sibA PE=1 SV=2	sp|Q54KF7|SIBA_DICDI	208 kDa	TRUE	10
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		4
Beta-hexosaminidase subunit A1 OS=Dictyostelium discoideum GN=hexa1 PE=1 SV=1	sp|P13723|HEXA1_DICDI	60 kDa		8
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205008 PE=4 SV=1	tr|Q54RW1|Q54RW1_DICDI	48 kDa		13
Kynurenine--oxoglutarate transaminase OS=Dictyostelium discoideum GN=ccbl PE=3 SV=1	sp|Q54KM6|KAT_DICDI	49 kDa		10
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		0
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa		16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219914 PE=3 SV=1	tr|Q54B24|Q54B24_DICDI	497 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203824 PE=4 SV=1	tr|Q551R4|Q551R4_DICDI	231 kDa	TRUE	0
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290537 PE=3 SV=1	tr|Q54FY1|Q54FY1_DICDI	54 kDa	TRUE	18
