Identified Proteins (808)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasB
WD repeat-containing protein 2 homolog OS=Dictyostelium discoideum GN=wdpA PE=2 SV=2	sp|P54686|WD42_DICDI	64 kDa		5
Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI	89 kDa		2
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa		9
Major outer membrane lipoprotein precurs	sp|P69776|LPP_ECOLI	8 kDa		6
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167402 PE=3 SV=1	tr|Q869Y3|Q869Y3_DICDI	34 kDa		6
Putative mediator of RNA polymerase II transcription subunit 12 OS=Dictyostelium discoideum GN=med12 PE=3 SV=2	sp|Q54U49|MED12_DICDI	317 kDa		6
Inosine-5'-monophosphate dehydrogenase (	sp|P0ADG7|IMDH_ECOLI	52 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58 kDa		7
Probable phosphoserine aminotransferase OS=Dictyostelium discoideum GN=serC PE=3 SV=1	sp|Q55CQ6|SERC_DICDI	42 kDa		5
Zinc finger CCCH domain-containing protein 15 homolog OS=Dictyostelium discoideum GN=DDB_G0292410 PE=3 SV=1	sp|Q54DA5|ZC3HF_DICDI	43 kDa		4
Peptidyl-prolyl cis-trans isomerase B (E	sp|P23869|PPIB_ECOLI	18 kDa		4
40S ribosomal protein S6 OS=Dictyostelium discoideum GN=rps6 PE=1 SV=1	sp|Q54UU3|RS6_DICDI	26 kDa		4
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29 kDa	TRUE	8
Extracellular signal-regulated kinase 2 OS=Dictyostelium discoideum GN=erkB PE=2 SV=1	sp|Q54QB1|ERK2_DICDI	42 kDa		6
Shikimate kinase I (EC 2.7.1.71) (SKI).	sp|P0A6D7|AROK_ECOLI	19 kDa		3
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299 kDa		6
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		3
Eukaryotic peptide chain release factor subunit 1 OS=Dictyostelium discoideum GN=erf1 PE=2 SV=2	sp|Q9BMX0|ERF1_DICDI	49 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218666 PE=4 SV=1	tr|Q54NS5|Q54NS5_DICDI	23 kDa		7
Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI	33 kDa		8
Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI	23 kDa		8
Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI	22 kDa		3
Twinfilin OS=Dictyostelium discoideum GN=twfA PE=1 SV=1	sp|Q869T1|TWF_DICDI	38 kDa		4
F-actin-capping protein subunit alpha OS=Dictyostelium discoideum GN=acpB PE=1 SV=1	sp|P13022|CAPZA_DICDI	31 kDa		7
NADH-ubiquinone oxidoreductase 49 kDa subunit OS=Dictyostelium discoideum GN=nad7 PE=1 SV=1	sp|Q23883|NDUS2_DICDI (+1)	47 kDa		4
Thiol peroxidase (EC 1.11.1.-) (Scavenga	sp|P0A862|TPX_ECOLI	18 kDa		6
DNA protection during starvation protein	sp|P0ABT2|DPS_ECOLI	19 kDa		8
Severin OS=Dictyostelium discoideum GN=sevA PE=1 SV=1	sp|P10733|SEVE_DICDI	40 kDa		4
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa	TRUE	5
Tail-specific protease precursor (EC 3.4	sp|P23865|PRC_ECOLI	77 kDa		3
Inorganic pyrophosphatase (EC 3.6.1.1) (	sp|P0A7A9|IPYR_ECOLI	20 kDa		2
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa		5
Catabolite gene activator (cAMP receptor	sp|P0ACJ8|CRP_ECOLI	24 kDa		3
"Formate dehydrogenase-O, major subunit ("	sp|P32176|FDOG_ECOLI	113 kDa	TRUE	7
"Probable glutamyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=gluS PE=2 SV=1"	sp|Q54KB8|SYEC_DICDI	86 kDa		4
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa		7
"2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1"	sp|Q54JE4|ODO1_DICDI	114 kDa		8
40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI	30 kDa		4
Probable polyketide synthase 13 OS=Dictyostelium discoideum GN=pks13 PE=3 SV=1	sp|Q559A9|PKS13_DICDI	289 kDa		2
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		5
Midasin OS=Dictyostelium discoideum GN=mdn1 PE=3 SV=2	sp|Q869L3|MDN1_DICDI (+1)	679 kDa	TRUE	2
Developmentally-regulated GTP-binding protein 1 homolog OS=Dictyostelium discoideum GN=drg1 PE=3 SV=1	sp|Q54HP3|DRG1_DICDI	41 kDa		3
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa	TRUE	2
"Elongation factor G, mitochondrial OS=Dictyostelium discoideum GN=gfm1 PE=3 SV=1"	sp|Q55E94|EFGM_DICDI	82 kDa		2
Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI	44 kDa		3
FACT complex subunit SPT16 OS=Dictyostelium discoideum GN=spt16 PE=3 SV=1	sp|Q54S43|SPT16_DICDI	121 kDa		4
Activating signal cointegrator 1 complex subunit 3-like OS=Dictyostelium discoideum GN=ascc3l PE=3 SV=1	sp|Q55CI8|HELCL_DICDI	256 kDa		2
Protein tolB precursor.	sp|P0A855|TOLB_ECOLI	46 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216934 PE=4 SV=1	tr|Q869N7|Q869N7_DICDI	36 kDa		4
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa		3
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		5
AP-3 complex subunit beta OS=Dictyostelium discoideum GN=ap3b-1 PE=3 SV=1	sp|Q556J8|AP3B_DICDI	127 kDa		2
HTH-type transcriptional regulator cysB	sp|P0A9F3|CYSB_ECOLI	36 kDa		2
NH(3)-dependent NAD(+) synthetase (EC 6.	sp|P18843|NADE_ECOLI	31 kDa		4
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	sp|Q54QW1|EIF3B_DICDI	78 kDa		4
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_0217656 PE=3 SV=1	tr|Q553T4|Q553T4_DICDI	343 kDa	TRUE	3
Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI	149 kDa		5
Bifunctional protein hldE [Includes: D-b	sp|P76658|HLDE_ECOLI	51 kDa		5
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa	TRUE	5
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	sp|Q23919|PGM1_DICDI	63 kDa		5
Proteasome subunit beta type-6 OS=Dictyostelium discoideum GN=psmB6 PE=1 SV=1	sp|Q55GJ6|PSB6_DICDI	23 kDa		8
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		9
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		5
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa		3
S-ribosylhomocysteine lyase (EC 4.4.1.21	sp|P45578|LUXS_ECOLI	19 kDa		6
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		4
Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI	34 kDa		6
UTP--glucose-1-phosphate uridylyltransferase 2 OS=Dictyostelium discoideum GN=ugpB PE=2 SV=1	sp|Q54YZ0|UGPA2_DICDI	56 kDa		3
Protein ydjA.	sp|P0ACY1|YDJA_ECOLI	20 kDa		7
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106 kDa		3
Sulfite reductase [NADPH] hemoprotein be	sp|P17846|CYSI_ECOLI	64 kDa		6
D-lactate dehydrogenase (EC 1.1.1.28) (D	sp|P52643|LDHD_ECOLI	37 kDa		4
Putative uncharacterized protein darA OS=Dictyostelium discoideum GN=darA PE=4 SV=1	tr|O76187|O76187_DICDI	88 kDa		5
Peptidyl-prolyl cis-trans isomerase D (E	sp|P0ADY1|PPID_ECOLI	68 kDa		4
Periplasmic oligopeptide-binding protein	sp|P23843|OPPA_ECOLI	61 kDa		3
Aminoacyl-histidine dipeptidase (EC 3.4.	sp|P15288|PEPD_ECOLI	53 kDa		7
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa		5
Luminal-binding protein 1 OS=Dictyostelium discoideum GN=bip1-1 PE=3 SV=1	sp|Q556U6|BIP1_DICDI	105 kDa		5
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI	153 kDa		5
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_G0291029 PE=1 SV=1	tr|Q54F74|Q54F74_DICDI	66 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57 kDa		5
Acid trehalase-like protein 1 OS=Dictyostelium discoideum GN=athl1 PE=3 SV=2	rsp|Q54KX5|ATHL1_DICDI	81 kDa		2
Phospho-2-dehydro-3-deoxyheptonate aldol	sp|P0AB91|AROG_ECOLI	38 kDa		3
CTP synthase OS=Dictyostelium discoideum GN=ctps PE=3 SV=1	sp|Q54V77|PYRG_DICDI	63 kDa		2
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281151 PE=4 SV=1	tr|Q54UD1|Q54UD1_DICDI	87 kDa		2
Protein ydgH precursor.	sp|P76177|YDGH_ECOLI	34 kDa		3
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	sp|Q54J34|PUR8_DICDI	53 kDa	TRUE	2
Eukaryotic peptide chain release factor GTP-binding subunit OS=Dictyostelium discoideum GN=erf3 PE=2 SV=1	sp|Q7YZN9|ERF3_DICDI	61 kDa		2
"Fructose-1,6-bisphosphatase (EC 3.1.3.11"	sp|P0A993|F16P_ECOLI	37 kDa		4
4-hydroxy-3-methylbut-2-enyl diphosphate	sp|P62623|ISPH_ECOLI	35 kDa		4
Protein tas.	sp|P0A9T4|TAS_ECOLI	39 kDa		3
"Glutamate-1-semialdehyde 2,1-aminomutase"	sp|P23893|GSA_ECOLI	45 kDa		4
Glucosamine--fructose-6-phosphate aminot	sp|P17169|GLMS_ECOLI	67 kDa		3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0168497 PE=4 SV=1	tr|Q75JE7|Q75JE7_DICDI	38 kDa		6
Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum GN=smt1 PE=1 SV=1	sp|Q54I98|SMT1_DICDI	40 kDa		3
Ribosomal RNA small subunit methyltransf	sp|P39406|RSMC_ECOLI	37 kDa		3
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa		3
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccB PE=4 SV=1	tr|Q8T131|Q8T131_DICDI	61 kDa		3
Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1	sp|P36408|GBB_DICDI	39 kDa		8
Ribosome recycling factor (Ribosome-rele	sp|P0A805|RRF_ECOLI	21 kDa		5
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		7
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=bkdB PE=3 SV=1"	sp|Q55FN7|ODBB_DICDI	41 kDa		3
Probable myosin light chain kinase DDB_G0282429 OS=Dictyostelium discoideum GN=DDB_G0282429 PE=3 SV=1	sp|Q54SJ5|MYLKC_DICDI	35 kDa		5
Stress-activated protein kinase alpha OS=Dictyostelium discoideum GN=spkA-1 PE=1 SV=1	sp|Q86AT8|SPKA_DICDI	73 kDa		3
Glucose-6-phosphate 1-dehydrogenase (EC	sp|P0AC53|G6PD_ECOLI	56 kDa	TRUE	4
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa		4
Polyphosphate kinase OS=Dictyostelium discoideum GN=ppkA PE=1 SV=1	sp|Q54BM7|PPK_DICDI	118 kDa		5
"Lysyl-tRNA synthetase, heat inducible (E"	sp|P0A8N5|SYK2_ECOLI	58 kDa	TRUE	6
60S ribosomal protein L18a OS=Dictyostelium discoideum GN=rpl18a PE=3 SV=2	sp|Q54MK8|RL18A_DICDI	20 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	tr|Q54I73|Q54I73_DICDI	172 kDa	TRUE	4
Adenylosuccinate synthetase OS=Dictyostelium discoideum GN=purA PE=1 SV=1	sp|P21900|PURA_DICDI	47 kDa		3
Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	sp|Q55AW9|SAC1_DICDI	67 kDa		4
Dihydrolipoyllysine-residue succinyltran	sp|P0AFG6|ODO2_ECOLI	44 kDa		4
Leucine-responsive regulatory protein.	sp|P0ACJ0|LRP_ECOLI	19 kDa		4
Cytosol aminopeptidase (EC 3.4.11.1) (Le	sp|P68767|AMPA_ECOLI	55 kDa		4
"2,3,4,5-tetrahydropyridine-2,6-dicarboxy"	sp|P0A9D8|DAPD_ECOLI	30 kDa		4
"Cysteinyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=cysS PE=3 SV=1"	sp|Q54KR1|SYCC_DICDI	75 kDa		3
Hypothetical UPF0020/UPF0064 protein ycb	sp|P75864|YCBY_ECOLI	79 kDa		5
Heat shock 70-related protein 5 OS=Dictyostelium discoideum GN=DDB_G0285709 PE=3 SV=1	sp|Q54MR6|HS7C5_DICDI	57 kDa		4
Uncharacterized protein DDB_G0283843 OS=Dictyostelium discoideum GN=DDB_G0283843 PE=4 SV=1	sp|Q54QG4|Y1747_DICDI	21 kDa		6
Probable malate dehydrogenase 3 OS=Dictyostelium discoideum GN=mdhC PE=3 SV=1	sp|Q54VM2|MDHC_DICDI	36 kDa	TRUE	6
Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI	50 kDa		6
"Aspartate aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=aatA PE=3 SV=1"	sp|Q55F21|AATM_DICDI	47 kDa	TRUE	6
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215290 PE=4 SV=1	tr|Q54XF3|Q54XF3_DICDI	34 kDa		4
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67 kDa		2
Succinyl-CoA synthetase alpha chain (EC	sp|P0AGE9|SUCD_ECOLI	30 kDa		4
Serine/threonine-protein phosphatase 2A regulatory subunit pppA OS=Dictyostelium discoideum GN=pppA PE=2 SV=1	sp|Q54QR9|2AAA_DICDI	65 kDa		4
Transcriptional regulatory protein tyrR.	sp|P07604|TYRR_ECOLI	58 kDa		2
FKBP-type peptidyl-prolyl cis-trans isom	sp|P45523|FKBA_ECOLI	29 kDa		2
Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1	sp|Q9NGQ2|KIF1_DICDI	248 kDa		2
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	2
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0288519 PE=4 SV=1	tr|Q54IU1|Q54IU1_DICDI	52 kDa		3
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	tr|O96455|O96455_DICDI (+1)	46 kDa		3
AP-1 complex subunit beta OS=Dictyostelium discoideum GN=ap1b1 PE=3 SV=1	sp|Q54X82|AP1B_DICDI	107 kDa		3
ATP-dependent RNA helicase hrpA (EC 3.6.	sp|P43329|HRPA_ECOLI	149 kDa		2
Probable replication factor C subunit 3 OS=Dictyostelium discoideum GN=rfc3 PE=3 SV=1	sp|Q54BN3|RFC3_DICDI	40 kDa		3
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		2
Rho-related protein racB OS=Dictyostelium discoideum GN=racB PE=1 SV=1	sp|P34148|RACB_DICDI	22 kDa	TRUE	2
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0187393 PE=1 SV=1	tr|Q54KL2|Q54KL2_DICDI	38 kDa		3
Aminomethyltransferase (EC 2.1.2.10) (Gl	sp|P27248|GCST_ECOLI	40 kDa		2
UvrABC system protein A (UvrA protein) (	sp|P0A698|UVRA_ECOLI	104 kDa		2
5'-3' exoribonuclease OS=Dictyostelium discoideum GN=xrn1 PE=4 SV=1	tr|Q75JF5|Q75JF5_DICDI	201 kDa		2
Mitochondrial genome maintenance protein mgm101 homolog OS=Dictyostelium discoideum GN=mgm101 PE=3 SV=1	sp|Q8MYF0|MG101_DICDI	43 kDa		3
"ATP synthase subunit O, mitochondrial OS=Dictyostelium discoideum GN=atp5O PE=3 SV=1"	sp|Q54RA8|ATPO_DICDI	33 kDa		4
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa		5
Putative acetyltransferase DDB_G0275913 OS=Dictyostelium discoideum GN=DDB_G0275913 PE=3 SV=1	sp|Q552S7|Y5913_DICDI	21 kDa		3
Branched-chain-amino-acid aminotransferase OS=Dictyostelium discoideum GN=bcaA PE=3 SV=1	sp|Q54N47|BCAT_DICDI	42 kDa		3
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa		2
WASH complex subunit strumpellin homolog OS=Dictyostelium discoideum GN=DDB_G0288569 PE=1 SV=1	sp|Q54IR8|STRUM_DICDI	135 kDa	TRUE	3
Guanine nucleotide-binding protein alpha-7 subunit OS=Dictyostelium discoideum GN=gpaG PE=2 SV=3	sp|P34045|GPA7_DICDI	44 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205381 PE=4 SV=1	tr|Q54YA6|Q54YA6_DICDI	72 kDa	TRUE	3
GTP-binding protein hflX.	sp|P25519|HFLX_ECOLI	48 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91 kDa		4
60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI	33 kDa		2
Probable glutaminyl-tRNA synthetase OS=Dictyostelium discoideum GN=glnS PE=2 SV=2	sp|P14325|SYQ_DICDI	88 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188248 PE=4 SV=1	tr|Q54I12|Q54I12_DICDI	146 kDa	TRUE	4
Fructose-bisphosphate aldolase class I (	sp|P0A991|ALF1_ECOLI	38 kDa	TRUE	3
Uracil phosphoribosyltransferase (EC 2.4	sp|P0A8F0|UPP_ECOLI	23 kDa		4
Preprotein translocase secA subunit.	sp|P10408|SECA_ECOLI	102 kDa		5
Probable caffeoyl-CoA O-methyltransferase 2 OS=Dictyostelium discoideum GN=omt6 PE=1 SV=1	sp|Q86IC8|CAMT2_DICDI	26 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa		5
UPF0304 protein yfbU.	sp|P0A8W8|YFBU_ECOLI	20 kDa		4
UDP-3-O-[3-hydroxymyristoyl] glucosamine	sp|P21645|LPXD_ECOLI	36 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0277615 PE=1 SV=1	tr|Q75JY8|Q75JY8_DICDI	56 kDa		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0279613 PE=3 SV=1	tr|Q54WJ9|Q54WJ9_DICDI	65 kDa		2
Dynactin 150 kDa subunit OS=Dictyostelium discoideum GN=dynA PE=4 SV=1	tr|Q54VD6|Q54VD6_DICDI	173 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185564 PE=4 SV=1	tr|Q54QX1|Q54QX1_DICDI	71 kDa		2
Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI	159 kDa	TRUE	3
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	tr|Q54B43|Q54B43_DICDI	97 kDa	TRUE	2
Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI	37 kDa	TRUE	4
Nucleoporin 210 OS=Dictyostelium discoideum GN=nup210 PE=4 SV=1	tr|Q54IS9|Q54IS9_DICDI	213 kDa		3
C2 calcium/lipid-binding region-containing protein OS=Dictyostelium discoideum GN=DDB_0202870 PE=1 SV=1	tr|Q55BH2|Q55BH2_DICDI	172 kDa		3
GMP synthase [glutamine-hydrolyzing] (EC	sp|P04079|GUAA_ECOLI	59 kDa		3
O-methyltransferase 9 OS=Dictyostelium discoideum GN=omt9 PE=3 SV=1	sp|Q54GZ0|OMT9_DICDI	41 kDa		2
Protein-export membrane protein secD.	sp|P0AG90|SECD_ECOLI	67 kDa		3
Regulator of ribonuclease activity A.	sp|P0A8R0|RRAA_ECOLI	17 kDa		2
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		3
Septum site-determining protein minD (Ce	sp|P0AEZ3|MIND_ECOLI	29 kDa		2
2-amino-3-ketobutyrate coenzyme A ligase	sp|P0AB77|KBL_ECOLI	43 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187414 PE=4 SV=1	tr|Q54KJ2|Q54KJ2_DICDI	177 kDa		2
Eukaryotic translation initiation factor 5B OS=Dictyostelium discoideum GN=eif5b PE=3 SV=1	sp|Q54XP6|IF2P_DICDI	116 kDa		3
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa	TRUE	2
Ribose-phosphate pyrophosphokinase (EC 2	sp|P0A717|KPRS_ECOLI	34 kDa	TRUE	4
Rho-related protein racC OS=Dictyostelium discoideum GN=racC PE=1 SV=1	sp|P34149|RACC_DICDI	22 kDa	TRUE	5
Serine hydroxymethyltransferase (EC 2.1.	sp|P0A825|GLYA_ECOLI	45 kDa		2
Ferric uptake regulation protein (Ferric	sp|P0A9A9|FUR_ECOLI	17 kDa		3
UPF0301 protein yqgE.	sp|P0A8W5|YQGE_ECOLI	21 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183829 PE=4 SV=1	tr|Q54EU0|Q54EU0_DICDI	46 kDa		2
UDP-glucose 6-dehydrogenase (EC 1.1.1.22	sp|P76373|UDG_ECOLI	44 kDa		3
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42 kDa	TRUE	2
ATP-dependent Clp protease proteolytic s	sp|P0A6G7|CLPP_ECOLI	23 kDa		3
"Cytochrome c1, heme protein, mitochondrial OS=Dictyostelium discoideum GN=cyc1 PE=3 SV=1"	sp|Q54D07|CY1_DICDI	31 kDa		4
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		3
Protein gntY.	sp|P63020|GNTY_ECOLI	21 kDa		4
Dynamin-like protein A OS=Dictyostelium discoideum GN=dlpA PE=2 SV=1	sp|Q55F94|DLPA_DICDI (+1)	100 kDa		3
"Probable alanine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=gpt PE=3 SV=1"	sp|Q54MJ7|ALAM_DICDI	59 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169491 PE=4 SV=1	tr|Q75JJ3|Q75JJ3_DICDI	184 kDa	TRUE	2
Sulfite reductase [NADPH] flavoprotein a	sp|P38038|CYSJ_ECOLI	66 kDa		2
Chaperone surA precursor (Peptidyl-proly	sp|P0ABZ6|SURA_ECOLI	47 kDa		4
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0185918 PE=3 SV=1	tr|Q54PX6|Q54PX6_DICDI	44 kDa		3
