Identified Proteins (876)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Gbeta_2
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa	TRUE	19
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86 kDa		6
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44 kDa	TRUE	7
Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum GN=prsA PE=1 SV=1	sp|Q54PA9|PRPSA_DICDI	34 kDa		3
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa	TRUE	8
Vacuolar protein sorting-associated protein 45 OS=Dictyostelium discoideum GN=vps45 PE=1 SV=1	sp|Q54GE3|VPS45_DICDI	65 kDa		8
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15 kDa		15
40S ribosomal protein S15 OS=Dictyostelium discoideum GN=rps15 PE=3 SV=1	sp|Q54N17|RS15_DICDI	16 kDa	TRUE	12
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=2 SV=1	tr|Q58A40|Q58A40_DICDI	29 kDa	TRUE	12
Hisactophilin-2 OS=Dictyostelium discoideum GN=hatB PE=1 SV=2	sp|P42526|HATB_DICDI	14 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205814 PE=4 SV=1	tr|Q54WP6|Q54WP6_DICDI	67 kDa	TRUE	2
Translationally-controlled tumor protein homolog 1 OS=Dictyostelium discoideum GN=DDB_G0282853 PE=3 SV=1	sp|Q54RX6|TCTP1_DICDI	20 kDa	TRUE	11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217089 PE=4 SV=1	rtr|Q558U0|Q558U0_DICDI	316 kDa	TRUE	3
Calcium up-regulated protein B OS=Dictyostelium discoideum GN=cupB PE=2 SV=1	sp|Q7Z203|CUPB_DICDI	86 kDa	TRUE	6
"Methylmalonyl-CoA epimerase, mitochondrial OS=Dictyostelium discoideum GN=mcee PE=3 SV=1"	sp|Q553V2|MCEE_DICDI	18 kDa		2
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103 kDa		17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204282 PE=4 SV=1	tr|Q54T96|Q54T96_DICDI	70 kDa		10
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa	TRUE	8
"Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1"	sp|Q54JD9|SCOT_DICDI	55 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	tr|Q55AN3|Q55AN3_DICDI	52 kDa		7
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36 kDa		5
"Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1"	sp|Q54X95|SYMC_DICDI	83 kDa	TRUE	9
"Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1"	sp|Q54SE2|PRDXL_DICDI	27 kDa	TRUE	16
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201681 PE=4 SV=1	tr|Q55EC2|Q55EC2_DICDI	49 kDa		6
Talin-A OS=Dictyostelium discoideum GN=talA PE=1 SV=3	rsp|P54633|TALA_DICDI	268 kDa	TRUE	3
Actin-17 OS=Dictyostelium discoideum GN=act17 PE=3 SV=1	sp|Q554S6|ACT17_DICDI	42 kDa	TRUE	162
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_G0291029 PE=1 SV=1	tr|Q54F74|Q54F74_DICDI	66 kDa		10
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		7
"Probable enoyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=echs1 PE=3 SV=1"	sp|Q1ZXF1|ECHM_DICDI	30 kDa		11
Glyoxylase B2 OS=Dictyostelium discoideum GN=gloB2 PE=3 SV=1	sp|Q54EJ5|GLOB2_DICDI	33 kDa		8
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa		8
Myosin regulatory light chain OS=Dictyostelium discoideum GN=mlcR PE=2 SV=1	sp|P13833|MLR_DICDI	18 kDa	TRUE	8
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22 kDa		16
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		10
6-phosphofructokinase OS=Dictyostelium discoideum GN=pfkA PE=2 SV=2	sp|P90521|K6PF_DICDI	92 kDa		7
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188832 PE=4 SV=1	tr|Q54G88|Q54G88_DICDI	43 kDa	TRUE	5
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa	TRUE	4
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		8
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa		4
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39 kDa	TRUE	9
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120 kDa	TRUE	5
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa		4
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1"	sp|Q54I90|NDUV1_DICDI	53 kDa		6
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59 kDa		7
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41 kDa	TRUE	8
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77 kDa	TRUE	7
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69 kDa		6
"Adenylate kinase 2, mitochondrial OS=Dictyostelium discoideum GN=adkA PE=3 SV=1"	sp|Q54QJ9|KAD2_DICDI	31 kDa		0
Argonaut-like protein OS=Dictyostelium discoideum GN=agnA PE=4 SV=1	tr|Q7KWS3|Q7KWS3_DICDI	111 kDa	TRUE	7
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	5
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa	TRUE	5
60S ribosomal protein L35 OS=Dictyostelium discoideum GN=rpl35 PE=3 SV=1	sp|Q54J23|RL35_DICDI	14 kDa	TRUE	9
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa		7
VID27-like protein OS=Dictyostelium discoideum GN=DDB_G0274813 PE=3 SV=1	sp|Q555V7|VID27_DICDI	108 kDa	TRUE	7
Delta 9 fatty acid desaturase OS=Dictyostelium discoideum GN=DDB_0168056 PE=3 SV=1	tr|Q556T4|Q556T4_DICDI	90 kDa		8
Vacuolar protein sorting-associated protein 29 OS=Dictyostelium discoideum GN=vps29 PE=3 SV=1	sp|Q54IF7|VPS29_DICDI	20 kDa	TRUE	11
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa		5
26S proteasome non-ATPase regulatory subunit 14 OS=Dictyostelium discoideum GN=psmD14 PE=3 SV=1	sp|Q86IJ1|PSDE_DICDI	34 kDa		4
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0188965 PE=4 SV=1	tr|Q54FV6|Q54FV6_DICDI	53 kDa		4
Proteasome subunit alpha type-4 OS=Dictyostelium discoideum GN=psmA4 PE=2 SV=1	sp|P34119|PSA4_DICDI	28 kDa	TRUE	0
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190529 PE=4 SV=1	tr|Q55D79|Q55D79_DICDI	67 kDa	TRUE	6
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187238 PE=4 SV=1	tr|Q54KY9|Q54KY9_DICDI	33 kDa		9
"Tryptophan 2,3-dioxygenase OS=Dictyostelium discoideum GN=tdo PE=1 SV=1"	sp|Q55DB4|T23O_DICDI	47 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187641 PE=4 SV=1	tr|Q54JU2|Q54JU2_DICDI	27 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183846 PE=4 SV=1	tr|Q54ES4|Q54ES4_DICDI	21 kDa		15
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa	TRUE	10
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa	TRUE	2
Calcium-binding mitochondrial carrier protein OS=Dictyostelium discoideum GN=mcfO PE=3 SV=1	sp|Q54RB9|CMC_DICDI	86 kDa		2
Ras-related protein Rab-8A OS=Dictyostelium discoideum GN=rab8A PE=3 SV=1	sp|P20790|RAB8A_DICDI	23 kDa	TRUE	7
Guanine nucleotide-binding protein alpha-7 subunit OS=Dictyostelium discoideum GN=gpaG PE=2 SV=3	sp|P34045|GPA7_DICDI	44 kDa		2
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		11
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=uap56 PE=4 SV=1	tr|Q55CR6|Q55CR6_DICDI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204740 PE=4 SV=1	tr|Q54UV0|Q54UV0_DICDI	147 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189206 PE=4 SV=1	tr|Q54F90|Q54F90_DICDI	96 kDa	TRUE	7
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		8
Ras-related GTP-binding protein OS=Dictyostelium discoideum GN=ragC PE=4 SV=1	tr|Q54PK6|Q54PK6_DICDI	41 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219348 PE=4 SV=1	tr|Q54IW4|Q54IW4_DICDI	75 kDa	TRUE	5
Glycylpeptide N-tetradecanoyltransferase OS=Dictyostelium discoideum GN=nmt PE=3 SV=2	sp|Q553B6|NMT_DICDI	48 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204927 PE=4 SV=1	tr|Q54S30|Q54S30_DICDI	74 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218384 PE=4 SV=1	tr|Q54SF2|Q54SF2_DICDI	40 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205662 PE=4 SV=1	tr|Q54X39|Q54X39_DICDI	28 kDa		6
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	sp|Q23892|GLUA_DICDI	89 kDa		9
Xaa-Pro aminopeptidase 1 OS=Dictyostelium discoideum GN=xpnpep1 PE=3 SV=1	sp|Q54G06|XPP1_DICDI	71 kDa	TRUE	7
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	tr|Q55CE9|Q55CE9_DICDI	61 kDa	TRUE	5
AP-2 complex subunit alpha-2 OS=Dictyostelium discoideum GN=ap2a1-1 PE=3 SV=1	sp|Q86KI1|AP2A2_DICDI	111 kDa		6
"ATP synthase subunit O, mitochondrial OS=Dictyostelium discoideum GN=atp5O PE=3 SV=1"	sp|Q54RA8|ATPO_DICDI	33 kDa	TRUE	3
Probable inactive protein kinase DDB_G0270444 OS=Dictyostelium discoideum GN=DDB_G0270444 PE=3 SV=1	sp|Q55BM1|Y0444_DICDI	158 kDa	TRUE	3
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	tr|O96455|O96455_DICDI (+1)	46 kDa	TRUE	3
Aconitate hydratase 2 (EC 4.2.1.3) (Citr	sp|P36683|ACON2_ECOLI	94 kDa	TRUE	4
Branched-chain-amino-acid aminotransferase OS=Dictyostelium discoideum GN=bcaA PE=3 SV=1	sp|Q54N47|BCAT_DICDI	42 kDa		6
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa		4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0167345 PE=3 SV=1	tr|Q869L6|Q869L6_DICDI	32 kDa	TRUE	6
Methionine aminopeptidase 2 OS=Dictyostelium discoideum GN=metap2 PE=3 SV=3	sp|Q55C21|AMPM2_DICDI	49 kDa		6
Eukaryotic translation initiation factor 3 subunit B OS=Dictyostelium discoideum GN=eif3b PE=3 SV=2	sp|Q54QW1|EIF3B_DICDI	78 kDa		6
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		5
Translocase of outer mitochondrial membrane OS=Dictyostelium discoideum GN=tom40 PE=4 SV=1	tr|Q76P15|Q76P15_DICDI	36 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191803 PE=4 SV=1	tr|Q54C69|Q54C69_DICDI	25 kDa		11
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190011 PE=4 SV=1	tr|Q55ET7|Q55ET7_DICDI	44 kDa		5
Alpha-mannosidase G OS=Dictyostelium discoideum GN=manG PE=1 SV=1	sp|Q54K67|MANG_DICDI	124 kDa		6
Drebrin-like protein OS=Dictyostelium discoideum GN=abpE-1 PE=2 SV=1	sp|Q557J6|DBNL_DICDI	55 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183870 PE=4 SV=1	tr|Q54EQ2|Q54EQ2_DICDI	17 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218292 PE=4 SV=1	tr|Q54U95|Q54U95_DICDI	58 kDa		4
Crystal protein OS=Dictyostelium discoideum GN=cryS PE=1 SV=1	sp|P21837|CRYS_DICDI	61 kDa	TRUE	12
Putative uncharacterized protein DDB_G0288137 OS=Dictyostelium discoideum GN=DDB_G0288137 PE=4 SV=1	sp|Q54JD2|Y8137_DICDI	36 kDa	TRUE	3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0190188 PE=3 SV=1	tr|Q55E92|Q55E92_DICDI	31 kDa		0
Doublecoronin OS=Dictyostelium discoideum GN=corB PE=3 SV=1	sp|Q55E54|COROB_DICDI	106 kDa		2
Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI	79 kDa	TRUE	6
UTP--glucose-1-phosphate uridylyltransferase 2 OS=Dictyostelium discoideum GN=ugpB PE=2 SV=1	sp|Q54YZ0|UGPA2_DICDI	56 kDa		5
Probable phosphoserine aminotransferase OS=Dictyostelium discoideum GN=serC PE=3 SV=1	sp|Q55CQ6|SERC_DICDI	42 kDa		7
Citrate lyase subunit beta-like protein OS=Dictyostelium discoideum GN=clybl PE=4 SV=1	tr|Q54Q74|Q54Q74_DICDI	41 kDa		8
Nascent polypeptide-associated complex subunit beta OS=Dictyostelium discoideum GN=nacB PE=3 SV=1	sp|Q54TR8|NACB_DICDI	15 kDa		7
Vacuolar proton translocating ATPase 100 kDa subunit OS=Dictyostelium discoideum GN=vatM PE=1 SV=2	sp|Q54E04|VATM_DICDI	93 kDa		6
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Dictyostelium discoideum GN=ndufa9 PE=3 SV=1"	sp|Q559Z0|NDUA9_DICDI	40 kDa		5
Cysteine proteinase 7 OS=Dictyostelium discoideum GN=cprG PE=1 SV=1	sp|Q94504|CYSP7_DICDI	47 kDa	TRUE	3
Proteasome subunit beta type-1 OS=Dictyostelium discoideum GN=psmB1 PE=3 SV=1	sp|Q86A21|PSB1_DICDI	26 kDa		12
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa		0
40S ribosomal protein S26 OS=Dictyostelium discoideum GN=rps26 PE=3 SV=1	sp|Q54TL8|RS26_DICDI	13 kDa		6
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	0
Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI	63 kDa		6
D-aspartate oxidase OS=Dictyostelium discoideum GN=ddo-1 PE=3 SV=1	sp|Q556W1|OXDD_DICDI	39 kDa		2
Farnesyl diphosphate synthase OS=Dictyostelium discoideum GN=Dfps PE=2 SV=1	tr|Q9NH03|Q9NH03_DICDI	44 kDa	TRUE	3
F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI	31 kDa		0
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa	TRUE	3
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189883 PE=4 SV=1	tr|Q55F70|Q55F70_DICDI	61 kDa		3
PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	tr|Q54GL5|Q54GL5_DICDI	84 kDa		3
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa		4
FK506-binding protein 5 OS=Dictyostelium discoideum GN=fkbp5 PE=3 SV=1	sp|Q54G21|FKBP5_DICDI	182 kDa		5
Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1	sp|Q54JL3|FTCD_DICDI	59 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0284705 PE=4 SV=1	tr|Q54P88|Q54P88_DICDI	50 kDa		0
Putative uncharacterized protein DDB_G0284097 OS=Dictyostelium discoideum GN=DDB_G0284097 PE=1 SV=1	sp|Q54Q48|Y5844_DICDI	71 kDa		3
Vacuolin-B OS=Dictyostelium discoideum GN=vacB PE=1 SV=1	sp|Q54WZ2|VACB_DICDI	66 kDa	TRUE	11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187661 PE=4 SV=1	tr|Q54JS1|Q54JS1_DICDI	52 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169442 PE=4 SV=1	tr|Q75JN4|Q75JN4_DICDI	35 kDa	TRUE	4
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa	TRUE	10
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		7
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		7
Probable caffeoyl-CoA O-methyltransferase 1 OS=Dictyostelium discoideum GN=omt5 PE=3 SV=1	sp|Q86IC9|CAMT1_DICDI	26 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216560 PE=4 SV=1	tr|Q55G08|Q55G08_DICDI	22 kDa		6
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa		4
Uncharacterized mitochondrial protein Mp36 OS=Dictyostelium discoideum GN=DidioMp36 PE=4 SV=1	sp|Q9TGM3|MP36_DICDI	94 kDa	TRUE	4
"Probable 39S ribosomal protein L21, mitochondrial OS=Dictyostelium discoideum GN=mrpl21 PE=3 SV=1"	sp|Q54IF0|RM21_DICDI	19 kDa		8
Proliferation-associated protein A OS=Dictyostelium discoideum GN=prlA PE=2 SV=1	sp|Q1ZXG4|PRLA_DICDI	42 kDa		8
Proteasome subunit beta type-5 OS=Dictyostelium discoideum GN=psmB5 PE=1 SV=1	sp|Q54BC8|PSB5_DICDI	30 kDa	TRUE	10
Coiled-coil domain-containing protein 22 homolog OS=Dictyostelium discoideum GN=DDB_G0285813 PE=3 SV=1	sp|Q54MP2|CCD22_DICDI	74 kDa		4
Eukaryotic translation initiation factor 4E OS=Dictyostelium discoideum GN=eif4e PE=3 SV=1	sp|Q55FE0|IF4E_DICDI	29 kDa		3
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218778 PE=4 SV=1	tr|Q54MF0|Q54MF0_DICDI	118 kDa		2
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa	TRUE	3
Ubiquitin carboxyl-terminal hydrolase A OS=Dictyostelium discoideum GN=ubpA PE=2 SV=2	sp|P54201|UBPA_DICDI	95 kDa		3
Malate synthase OS=Dictyostelium discoideum GN=masA PE=2 SV=2	sp|Q8T2K9|MASY_DICDI	62 kDa		4
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		5
Phox domain-containing protein OS=Dictyostelium discoideum GN=vps5 PE=1 SV=1	tr|Q86IF6|Q86IF6_DICDI	62 kDa		6
Rho-related protein racE OS=Dictyostelium discoideum GN=racE PE=1 SV=1	sp|Q23862|RACE_DICDI	24 kDa	TRUE	10
"Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1"	sp|Q86KU2|SYVC_DICDI	123 kDa	TRUE	8
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	sp|Q54DD0|AMPD_DICDI	91 kDa		3
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		3
"3'(2'),5'-bisphosphate nucleotidase OS=Dictyostelium discoideum GN=DDB_G0268652 PE=3 SV=1"	sp|Q55F34|DPNP_DICDI	37 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185710 PE=4 SV=1	tr|Q54QH6|Q54QH6_DICDI	23 kDa		9
Protein NipSnap homolog OS=Dictyostelium discoideum GN=nipsnap PE=3 SV=1	sp|Q54I58|NIPSN_DICDI	26 kDa	TRUE	6
Calnexin OS=Dictyostelium discoideum PE=3 SV=1	tr|Q95PJ5|Q95PJ5_DICDI (+1)	60 kDa		8
Neutral alpha-glucosidase AB OS=Dictyostelium discoideum GN=modA PE=3 SV=1	sp|Q94502|GANAB_DICDI	109 kDa	TRUE	7
Calmodulin-like protein OS=Dictyostelium discoideum GN=calB PE=2 SV=1	sp|O00897|CALML_DICDI	17 kDa	TRUE	7
COP9 signalosome complex subunit 4 OS=Dictyostelium discoideum GN=csn4 PE=2 SV=1	sp|Q54B82|CSN4_DICDI	45 kDa		6
Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1	sp|Q9NGQ2|KIF1_DICDI	248 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204291 PE=3 SV=1	tr|Q54T87|Q54T87_DICDI	64 kDa	TRUE	3
Putative lysozyme-like protein OS=Dictyostelium discoideum GN=alyL PE=3 SV=2	rsp|Q54M35|LYSL_DICDI	54 kDa		2
Proteasome assembly chaperone 2 OS=Dictyostelium discoideum GN=psmG2 PE=3 SV=1	sp|Q869S8|PSMG2_DICDI	31 kDa	TRUE	0
Probable thymidylate synthase thy1 OS=Dictyostelium discoideum GN=thyA PE=3 SV=2	sp|P15808|THY1_DICDI	35 kDa		3
Hydroxyacylglutathione hydrolase OS=Dictyostelium discoideum GN=hagh PE=3 SV=1	sp|Q54MR1|GLO2_DICDI	30 kDa		0
60S ribosomal protein L22 2 OS=Dictyostelium discoideum GN=rpl22a PE=3 SV=1	sp|Q54GK6|RL222_DICDI	13 kDa	TRUE	11
Probable polyketide synthase 19 OS=Dictyostelium discoideum GN=pks19 PE=3 SV=1	rsp|Q54T36|PKS19_DICDI	314 kDa	TRUE	0
von Willebrand factor A domain-containing protein DDB_G0292016 OS=Dictyostelium discoideum GN=DDB_G0292016 PE=4 SV=1	sp|Q54DV3|Y2016_DICDI	102 kDa	TRUE	2
PI-PLC X-box domain-containing protein DDB_G0293730 OS=Dictyostelium discoideum GN=DDB_G0293730 PE=4 SV=2	sp|Q54BH5|Y3730_DICDI	84 kDa		7
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	sp|Q54YD8|COPB2_DICDI	113 kDa		2
Villidin OS=Dictyostelium discoideum GN=vilA PE=1 SV=2	sp|Q8WQ85|VILD_DICDI	191 kDa		2
Translation initiation factor eIF-2B alpha subunit OS=Dictyostelium discoideum GN=DDB_G0283309 PE=3 SV=1	tr|Q54R90|Q54R90_DICDI	39 kDa		3
