Identified Proteins (670)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galphai_AluFl
Cysteine synthase OS=Escherichia coli GN=cysK PE=3 SV=1	tr|C3T137|C3T137_ECOLX	34 kDa		2
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=AGAP2 PE=4 SV=1"	tr|F8VVT9|F8VVT9_HUMAN	125 kDa		0
Carbamoyl-phosphate synthase large chain OS=Escherichia coli GN=carB PE=3 SV=1	tr|E2QEW2|E2QEW2_ECOLX	118 kDa		0
Kinesin heavy chain isoform 5C OS=Homo sapiens GN=KIF5C PE=3 SV=2	tr|E9PET8|E9PET8_HUMAN	99 kDa	TRUE	3
"Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase OS=Escherichia coli GN=spoT PE=3 SV=1"	tr|E2QH05|E2QH05_ECOLX	79 kDa		4
"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=3 SV=3"	tr|A6NC17|A6NC17_HUMAN (+14)	72 kDa		2
Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3S3 PE=2 SV=1	tr|B3KS98|B3KS98_HUMAN (+5)	42 kDa		3
Hexokinase-1 OS=Homo sapiens GN=HK1 PE=4 SV=1	tr|E7ENR4|E7ENR4_HUMAN (+3)	106 kDa	TRUE	2
AMP deaminase 2 OS=Homo sapiens GN=AMPD2 PE=4 SV=1	tr|E9PNG0|E9PNG0_HUMAN (+4)	88 kDa		0
"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=4 SV=1"	tr|E9PGM4|E9PGM4_HUMAN (+1)	76 kDa	TRUE	0
"D-tagatose-1,6-bisphosphate aldolase subunit GatZ OS=Escherichia coli GN=gatZ PE=3 SV=1"	tr|E2QNW3|E2QNW3_ECOLX	47 kDa		3
Ribosomal protein S6 kinase OS=Homo sapiens GN=RPS6KA1 PE=3 SV=1	tr|E9PGT3|E9PGT3_HUMAN (+1)	81 kDa		4
40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=3 SV=1	tr|E9PL09|E9PL09_HUMAN (+11)	25 kDa		0
Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=2 SV=1	tr|B7ZAV6|B7ZAV6_HUMAN (+1)	81 kDa		0
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=3 SV=1	tr|E7ERF2|E7ERF2_HUMAN (+1)	47 kDa		0
HEAT repeat-containing protein 5A OS=Homo sapiens GN=HEATR5A PE=4 SV=3	tr|B5MC49|B5MC49_HUMAN (+3)	123 kDa		0
Tropomodulin-3 (Fragment) OS=Homo sapiens GN=TMOD3 PE=4 SV=1	tr|H0YKU1|H0YKU1_HUMAN (+1)	21 kDa		4
Transitional endoplasmic reticulum ATPase (Fragment) OS=Homo sapiens GN=VCP PE=4 SV=1	tr|C9IZA5|C9IZA5_HUMAN (+2)	18 kDa		5
RNA polymerase sigma factor OS=Escherichia coli GN=rpoD PE=3 SV=1	tr|E2QEB5|E2QEB5_ECOLX	70 kDa		4
Uncharacterized protein yciR OS=Escherichia coli GN=gmr PE=4 SV=1	tr|E2QLP7|E2QLP7_ECOLX	75 kDa	TRUE	2
Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli GN=arnA PE=3 SV=1	tr|E2QPC0|E2QPC0_ECOLX	74 kDa		3
Tyrosine-protein phosphatase non-receptor type 6 (Fragment) OS=Homo sapiens GN=PTPN6 PE=4 SV=1	tr|F5H0N8|F5H0N8_HUMAN (+3)	18 kDa		0
Liprin-alpha-3 OS=Homo sapiens GN=PPFIA3 PE=2 SV=1	tr|B4DEU8|B4DEU8_HUMAN	66 kDa		0
Ankyrin repeat domain-containing protein 26 OS=Homo sapiens GN=ANKRD26 PE=4 SV=1	tr|E7ESJ3|E7ESJ3_HUMAN (+1)	198 kDa		0
Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1	tr|B5MCY1|B5MCY1_HUMAN	222 kDa		0
Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2 PE=4 SV=1	tr|E7ETY4|E7ETY4_HUMAN (+3)	78 kDa		0
Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens GN=USP9X PE=4 SV=1	tr|E9PFG1|E9PFG1_HUMAN	116 kDa		0
Selenoprotein P (Fragment) OS=Homo sapiens GN=SEPP1 PE=4 SV=1	REVtr|D6REX5|D6REX5_HUMAN (+1)	35 kDa		0
Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=2 SV=1	tr|B4DWJ2|B4DWJ2_HUMAN	87 kDa	TRUE	3
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (Fragment) OS=Homo sapiens GN=PPP2CB PE=4 SV=1	tr|H0YBN9|H0YBN9_HUMAN	6 kDa		7
Proteasome subunit alpha type (Fragment) OS=Homo sapiens GN=PSMA4 PE=3 SV=1	tr|H0YL69|H0YL69_HUMAN (+10)	26 kDa		3
6-phosphofructokinase type C (Fragment) OS=Homo sapiens GN=PFKP PE=4 SV=1	tr|B1APP6|B1APP6_HUMAN	26 kDa		5
Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=4 SV=1	tr|G8JLH9|G8JLH9_HUMAN	76 kDa		2
Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli GN=sdhA PE=4 SV=1	tr|C3TIN7|C3TIN7_ECOLX	64 kDa		5
"Keratin, type II cytoskeletal 7 (Fragment) OS=Homo sapiens GN=KRT7 PE=4 SV=1"	tr|F8VZY5|F8VZY5_HUMAN (+1)	38 kDa		0
26S proteasome non-ATPase regulatory subunit 13 (Fragment) OS=Homo sapiens GN=PSMD13 PE=4 SV=1	tr|E9PL38|E9PL38_HUMAN (+1)	30 kDa		4
Heterogeneous nuclear ribonucleoprotein Q (Fragment) OS=Homo sapiens GN=SYNCRIP PE=4 SV=1	tr|F6UXX1|F6UXX1_HUMAN	20 kDa		6
Ras suppressor protein 1 OS=Homo sapiens GN=RSU1 PE=4 SV=1	tr|F2Z2H2|F2Z2H2_HUMAN	20 kDa		7
Casein kinase II subunit alpha OS=Homo sapiens GN=CSNK2A1 PE=4 SV=1	tr|E7EU96|E7EU96_HUMAN	45 kDa		3
SEC23-interacting protein OS=Homo sapiens GN=SEC23IP PE=4 SV=1	tr|F5H0L8|F5H0L8_HUMAN	90 kDa		4
DBIRD complex subunit KIAA1967 (Fragment) OS=Homo sapiens GN=KIAA1967 PE=4 SV=1	tr|H0YB24|H0YB24_HUMAN (+1)	69 kDa	TRUE	6
Nck-associated protein 1-like OS=Homo sapiens GN=NCKAP1L PE=4 SV=1	tr|F8W050|F8W050_HUMAN	52 kDa		5
Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1 PE=4 SV=1	tr|E9PGZ2|E9PGZ2_HUMAN	73 kDa	TRUE	5
EH domain-containing protein 1 (Fragment) OS=Homo sapiens GN=EHD1 PE=4 SV=1	tr|C9JC03|C9JC03_HUMAN	43 kDa		0
Zinc finger protein 608 (Fragment) OS=Homo sapiens GN=ZNF608 PE=2 SV=1	tr|B3KPE6|B3KPE6_HUMAN (+1)	74 kDa	TRUE	0
Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=2 SV=1	tr|B4DME4|B4DME4_HUMAN (+1)	84 kDa		0
Neuron navigator 2 (Fragment) OS=Homo sapiens GN=NAV2 PE=4 SV=1	tr|E9PNV5|E9PNV5_HUMAN	86 kDa		0
Testin (Fragment) OS=Homo sapiens GN=TES PE=4 SV=1	tr|F8W7T0|F8W7T0_HUMAN	9 kDa	TRUE	3
Eukaryotic translation initiation factor 5 (Fragment) OS=Homo sapiens GN=EIF5 PE=4 SV=1	tr|H0YN40|H0YN40_HUMAN (+5)	22 kDa		0
Single-stranded DNA-binding protein OS=Escherichia coli GN=ssb PE=4 SV=1	tr|C3SHF2|C3SHF2_ECOLX	19 kDa		3
Fermitin family homolog 3 (Fragment) OS=Homo sapiens GN=FERMT3 PE=4 SV=1	tr|H0YFT5|H0YFT5_HUMAN	20 kDa		2
Serpin B4 (Fragment) OS=Homo sapiens GN=SERPINB4 PE=3 SV=1	tr|H0Y5H9|H0Y5H9_HUMAN (+5)	42 kDa		0
Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=3 SV=1	tr|B0V043|B0V043_HUMAN (+5)	140 kDa		2
UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli GN=murA PE=3 SV=1	tr|E2QEM2|E2QEM2_ECOLX	45 kDa		3
"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=2 SV=1"	tr|B4DER1|B4DER1_HUMAN (+2)	131 kDa		3
Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=4 SV=1	tr|C9JC84|C9JC84_HUMAN (+3)	52 kDa		0
Ewing sarcoma breakpoint region 1 OS=Homo sapiens GN=EWSR1 PE=4 SV=1	tr|B0QYK1|B0QYK1_HUMAN (+5)	63 kDa		6
"Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=3 SV=1"	tr|F8W1S1|F8W1S1_HUMAN	59 kDa		0
Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=4 SV=1	tr|C9JZI1|C9JZI1_HUMAN (+6)	37 kDa		3
NSFL1 cofactor p47 OS=Homo sapiens GN=NSFL1C PE=4 SV=1	tr|F2Z2K0|F2Z2K0_HUMAN (+1)	30 kDa		0
"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (Fragment) OS=Homo sapiens GN=ASAP1 PE=4 SV=1"	tr|H0YBF7|H0YBF7_HUMAN	105 kDa	TRUE	3
Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=4 SV=1	tr|E9PGQ4|E9PGQ4_HUMAN (+2)	70 kDa	TRUE	3
EF-hand domain-containing protein D2 (Fragment) OS=Homo sapiens GN=EFHD2 PE=4 SV=1	tr|H0Y4Y4|H0Y4Y4_HUMAN (+3)	19 kDa		4
Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens GN=ACSL1 PE=2 SV=1	tr|B7Z452|B7Z452_HUMAN (+5)	78 kDa		5
Chaperone protein HtpG OS=Escherichia coli GN=htpG PE=3 SV=1	tr|C3TLA7|C3TLA7_ECOLX	71 kDa		4
Advillin (Fragment) OS=Homo sapiens GN=AVIL PE=4 SV=1	tr|F8VVU1|F8VVU1_HUMAN	18 kDa		7
Exportin-2 OS=Homo sapiens GN=CSE1L PE=4 SV=1	tr|F8W904|F8W904_HUMAN	104 kDa		0
C-terminal-binding protein 1 (Fragment) OS=Homo sapiens GN=CTBP1 PE=3 SV=1	tr|D6RAX2|D6RAX2_HUMAN	20 kDa	TRUE	3
Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2 PE=2 SV=1	tr|B7ZKZ1|B7ZKZ1_HUMAN (+1)	36 kDa		5
Protein transport protein Sec24B OS=Homo sapiens GN=SEC24B PE=2 SV=1	tr|B7ZKM8|B7ZKM8_HUMAN	140 kDa		2
"Tubulin tyrosine ligase-like family, member 12 OS=Homo sapiens GN=TTLL12 PE=4 SV=1"	tr|B1AH89|B1AH89_HUMAN	74 kDa	TRUE	0
N-acetylated-alpha-linked acidic dipeptidase-like protein OS=Homo sapiens GN=NAALADL1 PE=4 SV=1	tr|C9JFW8|C9JFW8_HUMAN (+4)	77 kDa		2
Structural maintenance of chromosomes protein 6 (Fragment) OS=Homo sapiens GN=SMC6 PE=4 SV=1	REVtr|C9JMN1|C9JMN1_HUMAN	85 kDa		2
Unconventional myosin-VIIb OS=Homo sapiens GN=MYO7B PE=4 SV=1	tr|C9J6C0|C9J6C0_HUMAN (+2)	242 kDa		2
Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens GN=PPP2CA PE=3 SV=1	tr|E7ESG8|E7ESG8_HUMAN (+3)	17 kDa	TRUE	0
Hsc70-interacting protein (Fragment) OS=Homo sapiens GN=ST13 PE=4 SV=1	tr|F6VDH7|F6VDH7_HUMAN	18 kDa		0
Signal-induced proliferation-associated protein 1 OS=Homo sapiens GN=SIPA1 PE=4 SV=1	tr|F6RY50|F6RY50_HUMAN (+1)	102 kDa		2
DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=2 SV=1	tr|B4DG00|B4DG00_HUMAN (+2)	51 kDa		14
RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens GN=RAF1 PE=2 SV=1	tr|B4E0X2|B4E0X2_HUMAN (+1)	64 kDa		2
Ras-related C3 botulinum toxin substrate 2 (Fragment) OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH78|B1AH78_HUMAN (+6)	19 kDa		7
Regulator of G-protein-signaling 14 (Fragment) OS=Homo sapiens GN=RGS14 PE=4 SV=1	tr|H0Y8W3|H0Y8W3_HUMAN	47 kDa		4
Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=4 SV=1	tr|E5RFJ0|E5RFJ0_HUMAN (+1)	119 kDa		5
HCG2044799 OS=Homo sapiens GN=hCG_2044799 PE=4 SV=1	tr|H3BQZ7|H3BQZ7_HUMAN	85 kDa		5
Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=4 SV=1	tr|E9PP21|E9PP21_HUMAN (+2)	17 kDa	TRUE	3
DnaJ homolog subfamily B member 6 (Fragment) OS=Homo sapiens GN=DNAJB6 PE=4 SV=1	tr|C9J2C4|C9J2C4_HUMAN (+7)	25 kDa		3
"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=RARS PE=4 SV=1"	tr|F5H3T8|F5H3T8_HUMAN	52 kDa	TRUE	0
Ribonuclease E OS=Escherichia coli GN=rne PE=4 SV=1	tr|E2QKG8|E2QKG8_ECOLX	118 kDa	TRUE	7
Rho GTPase-activating protein 9 OS=Homo sapiens GN=ARHGAP9 PE=4 SV=1	tr|E9PDX9|E9PDX9_HUMAN (+3)	71 kDa		2
Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens GN=CCAR1 PE=4 SV=1	tr|F5H1H2|F5H1H2_HUMAN (+2)	76 kDa		4
Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=4 SV=1	tr|D3DQV9|D3DQV9_HUMAN (+2)	102 kDa		0
Truncated apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=4 SV=1	tr|F8W696|F8W696_HUMAN	28 kDa		0
Non-POU domain-containing octamer-binding protein (Fragment) OS=Homo sapiens GN=NONO PE=4 SV=1	tr|C9JYS8|C9JYS8_HUMAN	30 kDa		0
Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=4 SV=1	tr|F5H365|F5H365_HUMAN	83 kDa		6
Guanylate cyclase soluble subunit alpha-3 OS=Homo sapiens GN=GUCY1A3 PE=3 SV=1	tr|D6RDW3|D6RDW3_HUMAN	70 kDa		2
Galactokinase OS=Homo sapiens GN=GALK1 PE=2 SV=1	tr|B4E1G6|B4E1G6_HUMAN	45 kDa		0
Rho GTPase-activating protein 25 OS=Homo sapiens GN=ARHGAP25 PE=4 SV=1	tr|C9JB56|C9JB56_HUMAN (+2)	38 kDa		3
Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli GN=sthA PE=3 SV=1	tr|E2QIZ5|E2QIZ5_ECOLX	52 kDa		2
Cytosol aminopeptidase (Fragment) OS=Homo sapiens GN=LAP3 PE=4 SV=1	tr|H0Y9Q1|H0Y9Q1_HUMAN	23 kDa		0
Endoplasmin (Fragment) OS=Homo sapiens GN=HSP90B1 PE=4 SV=1	tr|F8W026|F8W026_HUMAN	6 kDa		0
SAM domain and HD domain-containing protein 1 OS=Homo sapiens GN=SAMHD1 PE=2 SV=2	tr|A6NDZ3|A6NDZ3_HUMAN (+4)	20 kDa		4
14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=4 SV=1	tr|B4DJF2|B4DJF2_HUMAN	11 kDa		0
Nucleolin (Fragment) OS=Homo sapiens GN=NCL PE=4 SV=1	tr|H7BY16|H7BY16_HUMAN	32 kDa		0
"Heat shock 105kDa/110kDa protein 1, isoform CRA_b OS=Homo sapiens GN=HSPH1 PE=2 SV=1"	tr|B4DYH1|B4DYH1_HUMAN (+1)	97 kDa		0
Cytokine receptor-like factor 3 OS=Homo sapiens GN=CRLF3 PE=2 SV=1	tr|B4DJU5|B4DJU5_HUMAN	36 kDa	TRUE	0
Adducin 1 (Alpha) OS=Homo sapiens GN=ADD1 PE=4 SV=1	tr|A2A3N8|A2A3N8_HUMAN (+3)	73 kDa	TRUE	2
Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens GN=PTPN12 PE=4 SV=1	tr|E9PBR5|E9PBR5_HUMAN (+12)	74 kDa		3
DNA mismatch repair protein MutS OS=Escherichia coli GN=mutS PE=3 SV=1	tr|E2QQI3|E2QQI3_ECOLX	95 kDa		3
Rho GTPase-activating protein 4 OS=Homo sapiens GN=ARHGAP4 PE=4 SV=1	tr|E7EQN5|E7EQN5_HUMAN (+5)	103 kDa		3
Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=2 SV=1	tr|B4DXP5|B4DXP5_HUMAN (+3)	34 kDa		2
Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=4 SV=1	tr|F8VQ10|F8VQ10_HUMAN (+5)	51 kDa		3
Epidermal growth factor receptor pathway substrate 15 OS=Homo sapiens GN=EPS15 PE=4 SV=1	tr|B1AUU8|B1AUU8_HUMAN (+6)	84 kDa		2
Protein phosphatase 1B (Fragment) OS=Homo sapiens GN=PPM1B PE=3 SV=2	tr|B8ZZF0|B8ZZF0_HUMAN (+2)	33 kDa		0
26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=2 SV=1	tr|B4DXI8|B4DXI8_HUMAN (+2)	28 kDa		3
Phosphoribosyl pyrophosphate synthase-associated protein 1 (Fragment) OS=Homo sapiens GN=PRPSAP1 PE=4 SV=1	tr|C9JNQ3|C9JNQ3_HUMAN	12 kDa		4
Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=4 SV=1	tr|E9PHI6|E9PHI6_HUMAN	43 kDa		0
"Aspartate--tRNA ligase, cytoplasmic (Fragment) OS=Homo sapiens GN=DARS PE=3 SV=1"	tr|H7BZ35|H7BZ35_HUMAN	22 kDa		0
26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=2 SV=1	tr|B4DR63|B4DR63_HUMAN	41 kDa		0
Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=2 SV=1	tr|B4DNJ6|B4DNJ6_HUMAN	40 kDa		5
Protein TFG OS=Homo sapiens GN=TFG PE=4 SV=1	tr|G5E9V1|G5E9V1_HUMAN	43 kDa		0
40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=3 SV=1	tr|D6RAT0|D6RAT0_HUMAN (+4)	26 kDa	TRUE	5
50S ribosomal protein L10 OS=Escherichia coli GN=rplJ PE=3 SV=1	tr|C3SIB7|C3SIB7_ECOLX	18 kDa		2
Exportin-7 OS=Homo sapiens GN=XPO7 PE=4 SV=1	tr|E7ESC6|E7ESC6_HUMAN (+3)	124 kDa		0
Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens GN=PPP1R12C PE=2 SV=1	tr|B4DME2|B4DME2_HUMAN (+1)	77 kDa	TRUE	0
Ribose-phosphate pyrophosphokinase OS=Escherichia coli GN=prsA PE=3 SV=1	tr|Q2EVI2|Q2EVI2_ECOLX	34 kDa		2
Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens GN=KCNAB2 PE=4 SV=2	tr|E7ESI4|E7ESI4_HUMAN	18 kDa		0
TOM1-like protein 2 OS=Homo sapiens GN=TOM1L2 PE=2 SV=1	REVtr|B7Z2L7|B7Z2L7_HUMAN (+10)	53 kDa		2
UvrABC system protein A OS=Escherichia coli GN=uvrA PE=3 SV=1	tr|C3SHF7|C3SHF7_ECOLX	104 kDa	TRUE	0
Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIA PE=3 SV=1	tr|C9J5S7|C9J5S7_HUMAN (+1)	13 kDa		0
14-3-3 protein eta (Fragment) OS=Homo sapiens GN=YWHAH PE=4 SV=1	tr|A2IDB2|A2IDB2_HUMAN (+1)	19 kDa	TRUE	5
Site-determining protein OS=Escherichia coli GN=minD PE=3 SV=1	tr|Q2LD72|Q2LD72_ECOLX	30 kDa	TRUE	2
Hexokinase-2 OS=Homo sapiens GN=HK2 PE=3 SV=1	tr|E9PB90|E9PB90_HUMAN (+1)	99 kDa		0
COP9 signalosome complex subunit 2 OS=Homo sapiens GN=COPS2 PE=2 SV=1	tr|B4DIH5|B4DIH5_HUMAN	44 kDa		2
Cleavage and polyadenylation-specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=4 SV=1	tr|F8WJN3|F8WJN3_HUMAN	52 kDa		0
60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=3 SV=1	tr|A8MUS3|A8MUS3_HUMAN (+1)	22 kDa		3
Phosphorylase (Fragment) OS=Homo sapiens GN=PYGB PE=3 SV=1	tr|H0Y4Z6|H0Y4Z6_HUMAN (+1)	27 kDa		7
Switch-associated protein 70 OS=Homo sapiens GN=SWAP70 PE=4 SV=1	tr|E7EMB1|E7EMB1_HUMAN (+1)	62 kDa		0
"ARP1 actin-related protein 1 homolog B, centractin beta (Yeast), isoform CRA_c OS=Homo sapiens GN=ACTR1B PE=3 SV=1"	tr|G5E9Q5|G5E9Q5_HUMAN	17 kDa		0
Cytoplasmic dynein 1 heavy chain 1 (Fragment) OS=Homo sapiens GN=DYNC1H1 PE=4 SV=1	tr|H0YJ21|H0YJ21_HUMAN	21 kDa	TRUE	0
"Thioredoxin-like 1, isoform CRA_b OS=Homo sapiens GN=TXNL1 PE=4 SV=1"	tr|G3V1K0|G3V1K0_HUMAN	19 kDa		0
Copine-3 (Fragment) OS=Homo sapiens GN=CPNE3 PE=4 SV=1	tr|E5RG68|E5RG68_HUMAN (+4)	27 kDa		0
Fumarase A = fumarate hydratase Class I aerobic isozyme OS=Escherichia coli GN=fumA PE=4 SV=1	tr|E2QMH5|E2QMH5_ECOLX (+1)	60 kDa		0
Proline-serine-threonine phosphatase-interacting protein 1 OS=Homo sapiens GN=PSTPIP1 PE=4 SV=1	tr|C9K004|C9K004_HUMAN (+2)	45 kDa		0
Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3EIP PE=4 SV=1	tr|B0QY89|B0QY89_HUMAN (+6)	71 kDa	TRUE	0
6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=2 SV=1	tr|B1APP8|B1APP8_HUMAN (+1)	23 kDa		3
Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens GN=PPP1R12A PE=4 SV=1	tr|H0YIM2|H0YIM2_HUMAN (+1)	22 kDa		0
Importin-5 OS=Homo sapiens GN=IPO5 PE=2 SV=1	tr|B4E0R6|B4E0R6_HUMAN (+1)	109 kDa		0
Coatomer subunit gamma-1 (Fragment) OS=Homo sapiens GN=COPG1 PE=4 SV=1	tr|H0Y8X7|H0Y8X7_HUMAN	21 kDa		3
V-type proton ATPase subunit E 1 (Fragment) OS=Homo sapiens GN=ATP6V1E1 PE=4 SV=1	tr|C9J8H1|C9J8H1_HUMAN	24 kDa		3
Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens GN=PRPS2 PE=4 SV=1	tr|D3YTJ7|D3YTJ7_HUMAN	22 kDa		2
Haptoglobin (Fragment) OS=Homo sapiens GN=HP PE=3 SV=1	tr|H3BS21|H3BS21_HUMAN (+2)	25 kDa		0
Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=3 SV=1	tr|E9PL22|E9PL22_HUMAN (+1)	105 kDa		0
Heat shock 70 kDa protein 4L OS=Homo sapiens GN=HSPA4L PE=3 SV=2	tr|E7ES43|E7ES43_HUMAN (+2)	98 kDa		3
Exophilin-5 OS=Homo sapiens GN=EXPH5 PE=4 SV=1	tr|E7ENT4|E7ENT4_HUMAN (+3)	213 kDa		0
Elongator complex protein 1 OS=Homo sapiens GN=IKBKAP PE=4 SV=1	REVtr|F5H2T0|F5H2T0_HUMAN	111 kDa		0
Plectin (Fragment) OS=Homo sapiens GN=PLEC PE=4 SV=1	tr|E9PMV1|E9PMV1_HUMAN	81 kDa		3
Striatin-3 OS=Homo sapiens GN=STRN3 PE=4 SV=1	tr|G3V340|G3V340_HUMAN (+1)	36 kDa	TRUE	2
ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=2 SV=1	tr|B4DVB8|B4DVB8_HUMAN	39 kDa		2
Phosphoenolpyruvate synthase OS=Escherichia coli GN=pps PE=3 SV=1	tr|E2QMR3|E2QMR3_ECOLX	87 kDa		2
ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B PE=4 SV=1	tr|H3BQK0|H3BQK0_HUMAN (+1)	55 kDa		0
Chaperone clpB OS=Escherichia coli GN=clpB PE=3 SV=1	tr|E2QQ51|E2QQ51_ECOLX	92 kDa		2
Bifunctional aspartokinase/homoserine dehydrogenase II OS=Escherichia coli GN=metL PE=4 SV=1	tr|E2QIW7|E2QIW7_ECOLX	89 kDa		0
FAD-AMP lyase (cyclizing) (Fragment) OS=Homo sapiens GN=DAK PE=4 SV=1	tr|H0YCY6|H0YCY6_HUMAN (+2)	55 kDa		0
"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (Fragment) OS=Homo sapiens GN=PREX1 PE=4 SV=1"	tr|H0YDZ4|H0YDZ4_HUMAN	98 kDa		0
CAP-Gly domain-containing linker protein 1 (Fragment) OS=Homo sapiens GN=CLIP1 PE=4 SV=1	tr|F5H6A0|F5H6A0_HUMAN (+2)	90 kDa		5
Sorting nexin-2 OS=Homo sapiens GN=SNX2 PE=2 SV=1	tr|B4DEK4|B4DEK4_HUMAN (+2)	46 kDa		2
Outer membrane protein tolC OS=Escherichia coli GN=tolC PE=4 SV=1	tr|E2QE61|E2QE61_ECOLX	54 kDa		0
Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=2 SV=1	tr|B4E0K5|B4E0K5_HUMAN (+9)	32 kDa		0
"V-type proton ATPase subunit B, kidney isoform OS=Homo sapiens GN=ATP6V1B1 PE=3 SV=1"	tr|C9JL73|C9JL73_HUMAN (+4)	55 kDa		0
30S ribosomal protein S5 OS=Escherichia coli GN=rpsE PE=3 SV=1	tr|C3SR27|C3SR27_ECOLX	18 kDa		4
DNA repair protein radA OS=Escherichia coli GN=sms PE=3 SV=1	tr|C3SE38|C3SE38_ECOLX	49 kDa		0
Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=2 SV=1	tr|B7ZA04|B7ZA04_HUMAN (+1)	70 kDa		3
"Aspartate--tRNA ligase, cytoplasmic (Fragment) OS=Homo sapiens GN=DARS PE=4 SV=1"	tr|C9J7S3|C9J7S3_HUMAN (+2)	20 kDa		0
Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOC PE=3 SV=1	tr|A8MVZ9|A8MVZ9_HUMAN	36 kDa		0
Nuclear receptor-binding protein OS=Homo sapiens GN=NRBP1 PE=4 SV=1	tr|F8W6G1|F8W6G1_HUMAN (+3)	61 kDa		2
"Interferon-induced GTP-binding protein Mx1, N-terminally processed OS=Homo sapiens GN=MX1 PE=3 SV=1"	tr|F8W8T1|F8W8T1_HUMAN	73 kDa	TRUE	2
